SNAPSHOT 1 — BACKEND ROUTE MAP
METHOD | FULL PATH | FILE:LINE | CONTROLLER FUNCTION | FUNCTION EXISTS? (Y/N)
-------------------------------------------------------------------------
GET    | /health | \backend\debug-auth-routes.js:9 | res | N/A 
GET    | /test | \backend\debug-routes.js:5 | res | N/A 
GET    | /api/test | \backend\debug-routes.js:10 | res | N/A 
GET    | /health | \backend\src\app.js:45 | res | N/A ⚠️ DUPLICATE
GET    | /metrics | \backend\src\app.js:57 | res | N/A 
GET    | /api/tenant/:tenantSlug/info | \backend\src\app.js:311 | res | N/A 
GET    | /tenants | \backend\src\middleware\auth\unifiedPermissionMiddleware.js:16 | controller.getTenants | N/A 
GET    | /projects | \backend\src\middleware\auth\unifiedPermissionMiddleware.js:19 | controller.getProjects | N/A 
DELETE | /user | \backend\src\middleware\auth\unifiedPermissionMiddleware.js:22 | controller.deleteUser | N/A 
GET    | /projects | \backend\src\middleware\auth\unifiedSoftwareHouseAuth.js:26 | controller.getProjects | N/A ⚠️ DUPLICATE
GET    | /items | \backend\src\middleware\auth\unifiedTenantAuth.js:29 | controller.getItems | N/A 
GET    | /projects | \backend\src\middleware\auth\unifiedTenantAuth.js:32 | controller.getProjects | N/A ⚠️ DUPLICATE
GET    | /projects | \backend\src\middleware\auth\unifiedTenantAuth.js:35 | controller.getProjects | N/A ⚠️ DUPLICATE
GET    | /projects/:id | \backend\src\middleware\security\resourceAccessCheck.js:13 | controller.getProject | N/A 
GET    | / | \backend\src\modules\admin\routes\admin.js:8 | res | N/A 
POST   | /messages/:messageId/flag | \backend\src\modules\admin\routes\moderation.js:16 | res | N/A 
DELETE | /messages/:messageId/flag | \backend\src\modules\admin\routes\moderation.js:23 | res | N/A 
POST   | /messages/:messageId/hide | \backend\src\modules\admin\routes\moderation.js:30 | res | N/A 
DELETE | /messages/:messageId | \backend\src\modules\admin\routes\moderation.js:37 | res | N/A 
POST   | /messages/:messageId/restore | \backend\src\modules\admin\routes\moderation.js:44 | res | N/A 
GET    | /messages/flagged | \backend\src\modules\admin\routes\moderation.js:51 | res | N/A 
POST   | /users/:userId/ban | \backend\src\modules\admin\routes\moderation.js:70 | res | N/A 
POST   | /users/:userId/unban | \backend\src\modules\admin\routes\moderation.js:123 | res | N/A 
GET    | /users/:userId/bans | \backend\src\modules\admin\routes\moderation.js:155 | res | N/A 
POST   | /chats/:chatId/mute | \backend\src\modules\admin\routes\moderation.js:169 | res | N/A 
POST   | /chats/:chatId/unmute | \backend\src\modules\admin\routes\moderation.js:176 | res | N/A 
GET    | /audit-log | \backend\src\modules\admin\routes\moderation.js:186 | res | N/A 
GET    | /users/:userId/audit-log | \backend\src\modules\admin\routes\moderation.js:219 | res | N/A 
GET    | /search/messages | \backend\src\modules\admin\routes\moderation.js:234 | res | N/A 
POST   | /access/request-approval | \backend\src\modules\admin\routes\supra-admin\access.js:15 | res | N/A 
POST   | /access/approve/:approvalId | \backend\src\modules\admin\routes\supra-admin\access.js:43 | res | N/A 
POST   | /access/reject/:approvalId | \backend\src\modules\admin\routes\supra-admin\access.js:62 | res | N/A 
GET    | /access/approvals | \backend\src\modules\admin\routes\supra-admin\access.js:81 | res | N/A 
GET    | /access/pending-approvals | \backend\src\modules\admin\routes\supra-admin\access.js:95 | res | N/A 
POST   | /access/revoke/:approvalId | \backend\src\modules\admin\routes\supra-admin\access.js:108 | res | N/A 
GET    | /billing/overview | \backend\src\modules\admin\routes\supra-admin\billing.js:16 | res | N/A 
POST   | /billing/invoices | \backend\src\modules\admin\routes\supra-admin\billing.js:33 | res | N/A 
PUT    | /billing/invoices/:id | \backend\src\modules\admin\routes\supra-admin\billing.js:57 | res | N/A 
GET    | /billing/invoices | \backend\src\modules\admin\routes\supra-admin\billing.js:101 | res | N/A 
GET    | /dashboard | \backend\src\modules\admin\routes\supra-admin\dashboard.js:16 | res | N/A 
GET    | /analytics | \backend\src\modules\admin\routes\supra-admin\dashboard.js:140 | res | N/A 
GET    | /erp/stats | \backend\src\modules\admin\routes\supra-admin\dashboard.js:151 | res | N/A 
GET    | /departments | \backend\src\modules\admin\routes\supra-admin\departments.js:14 | res | N/A 
POST   | /departments | \backend\src\modules\admin\routes\supra-admin\departments.js:59 | Inline/Arrow Function | N/A 
PUT    | /departments/:id | \backend\src\modules\admin\routes\supra-admin\departments.js:80 | Inline/Arrow Function | N/A 
DELETE | /departments/:id | \backend\src\modules\admin\routes\supra-admin\departments.js:112 | res | N/A 
GET    | /tenant-departments | \backend\src\modules\admin\routes\supra-admin\departments.js:127 | res | N/A 
POST   | /tenant-departments | \backend\src\modules\admin\routes\supra-admin\departments.js:135 | res | N/A 
DELETE | /tenant-departments/:tenantId/:departmentId | \backend\src\modules\admin\routes\supra-admin\departments.js:143 | res | N/A 
GET    | /master-erp | \backend\src\modules\admin\routes\supra-admin\masterErp.js:15 | res | N/A 
GET    | /system-health | \backend\src\modules\admin\routes\supra-admin\system.js:15 | res | N/A 
GET    | /monitoring/alerts | \backend\src\modules\admin\routes\supra-admin\system.js:34 | res | N/A 
GET    | /monitoring/logs | \backend\src\modules\admin\routes\supra-admin\system.js:43 | res | N/A 
GET    | /monitoring/metrics | \backend\src\modules\admin\routes\supra-admin\system.js:52 | res | N/A 
GET    | /monitoring/threats | \backend\src\modules\admin\routes\supra-admin\system.js:61 | res | N/A 
GET    | /settings | \backend\src\modules\admin\routes\supra-admin\system.js:70 | res | N/A 
PUT    | /settings | \backend\src\modules\admin\routes\supra-admin\system.js:79 | res | N/A 
GET    | /infrastructure/servers | \backend\src\modules\admin\routes\supra-admin\system.js:87 | res | N/A 
GET    | /infrastructure/databases | \backend\src\modules\admin\routes\supra-admin\system.js:121 | res | N/A 
GET    | /infrastructure/apis | \backend\src\modules\admin\routes\supra-admin\system.js:144 | res | N/A 
GET    | /infrastructure/security | \backend\src\modules\admin\routes\supra-admin\system.js:154 | res | N/A 
GET    | /infrastructure/stats | \backend\src\modules\admin\routes\supra-admin\system.js:171 | res | N/A 
GET    | /infrastructure/monitoring | \backend\src\modules\admin\routes\supra-admin\system.js:184 | res | N/A 
GET    | /infrastructure/networks | \backend\src\modules\admin\routes\supra-admin\system.js:194 | res | N/A 
POST   | /infrastructure/servers/:id/restart | \backend\src\modules\admin\routes\supra-admin\system.js:217 | res | N/A 
POST   | /infrastructure/security/:id/scan | \backend\src\modules\admin\routes\supra-admin\system.js:225 | res | N/A 
GET    | /tenants | \backend\src\modules\admin\routes\supra-admin\tenants.js:17 | res | N/A ⚠️ DUPLICATE
GET    | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:51 | res | N/A 
PUT    | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:63 | res | N/A 
PUT    | /tenants/:id/status | \backend\src\modules\admin\routes\supra-admin\tenants.js:84 | res | N/A 
DELETE | /tenants/cancelled | \backend\src\modules\admin\routes\supra-admin\tenants.js:103 | res | N/A 
DELETE | /tenants/bulk | \backend\src\modules\admin\routes\supra-admin\tenants.js:129 | res | N/A 
DELETE | /tenants/:id | \backend\src\modules\admin\routes\supra-admin\tenants.js:153 | res | N/A 
PUT    | /tenants/:id/password | \backend\src\modules\admin\routes\supra-admin\tenants.js:174 | res | N/A 
GET    | /admins | \backend\src\modules\admin\routes\supra-admin\users.js:18 | res | N/A 
POST   | /admins | \backend\src\modules\admin\routes\supra-admin\users.js:28 | Inline/Arrow Function | N/A 
GET    | /portal-users | \backend\src\modules\admin\routes\supra-admin\users.js:66 | res | N/A 
GET    | /users | \backend\src\modules\admin\routes\supra-admin\users.js:83 | res | N/A 
GET    | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:99 | res | N/A 
POST   | /users | \backend\src\modules\admin\routes\supra-admin\users.js:110 | Inline/Arrow Function | N/A 
PATCH  | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:143 | Inline/Arrow Function | N/A 
DELETE | /users/:id | \backend\src\modules\admin\routes\supra-admin\users.js:179 | res | N/A 
PATCH  | /users/:id/assign-portal-responsibility | \backend\src\modules\admin\routes\supra-admin\users.js:194 | res | N/A 
PATCH  | /users/:id/remove-portal-responsibility | \backend\src\modules\admin\routes\supra-admin\users.js:228 | res | N/A 
POST   | /users/debug-verify | \backend\src\modules\admin\routes\supra-admin\users.js:245 | res | N/A 
GET    | / | \backend\src\modules\admin\routes\supraReports.js:11 | res | N/A ⚠️ DUPLICATE
GET    | /stats | \backend\src\modules\admin\routes\supraReports.js:86 | res | N/A 
POST   | /generate | \backend\src\modules\admin\routes\supraReports.js:121 | res | N/A 
GET    | /:reportId/status | \backend\src\modules\admin\routes\supraReports.js:156 | res | N/A 
GET    | /:reportId/download | \backend\src\modules\admin\routes\supraReports.js:196 | res | N/A 
