"id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","version","source_datasets","source_licenses","source_update_times"
"49902017-08ce-4e61-90dd-217f8da3cbe3","Tribeca Advanced Dentistry","-74.0078407842926","40.7138823637945","dentist","","23 Warren St #10","New York","10007","NY","US","(212) 355-4510","","http://tribecaadvanceddentistry.com","","","0.9902192950248718","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2026-02-20T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"4654b857-1735-44ac-a966-423519dc9cd4","New York City Vacation Travel Guide","-74.00513201","40.71109087","dentist","health_and_medical","9 Spruce St","New York","10038-1520","NY","US","+33140541240","","","https://www.facebook.com/1477169815829896","","0.9199122190475464","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"5f2678b0-f0ab-4e9e-810d-8a8b1cb62f41","Dental365","-74.00819828","40.71365493","dentist","cosmetic_dentist | general_dentistry","19 Murray St","New York","10007-2240","NY","US","+12129419095","tribeca@godental365.com","https://www.godental365.com/location/dentist-tribeca?utm_source=local_directory&utm_medium=referral&utm_campaign=directory-listing","https://www.facebook.com/1664245903871834","Dental365","0.9199122190475464","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"6cd32711-4fc1-42d1-aa7f-be4d27a21de3","Lambert & Co. Holistic Dentist","-74.0077248","40.7141822","dentist","general_dentistry | doctor","20 Warren St","New York","10007-0028","NY","US","+12122404040","info@lamberttribeca.com","http://tribecapediatricdental.com","https://www.facebook.com/1515766355384789","","0.9199122190475464","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"9bc9438e-28e5-4fec-967b-03c575881531","Verma Dentistry","-74.00846504","40.71318919","dentist","general_dentistry","1 Maiden Ln","New York","10038-4015","NY","US","+12127322200","drdavidazar@gmail.com","http://www.drdavidazar.com/","https://www.facebook.com/1946756995584522","","0.6785262823104858","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"5612f91a-9290-4b47-b3ba-36c74285d18f","Tribeca Dental Center","-74.008226761736","40.7137100490895","dentist","","19 Murray St","New York","10007","NY","US","(212) 941-9095","sara25@hotmail.com","https://www.godental365.com/locations/new-york/manhattan/tribeca-office","","","0.77","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2026-04-03T00:00:00.000 | 2026-06-11T11:57:15Z"
"968ec183-7610-44a0-b4b7-d7bb82738636","Tribeca Dental Associates","-74.00827871","40.71368306","dentist","general_dentistry","21 Murray St","New York","10007-2239","NY","US","+12126713749","info@tribecadentalny.com","https://tribeca.dental/","https://www.facebook.com/2215761548681995","Babak Hamidi","0.9902192950248718","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"8975ecfe-3ee5-498f-b935-c37bbdc584a0","Holistic Dentists","-74.00859651","40.71312687","dentist","general_dentistry","17 Park Pl","New York","10007-2514","NY","US","+12127322200","reception@holistic-dentists.com","https://holistic-dentists.com/","https://www.facebook.com/120089491365330","Holistic Dentists","0.9902192950248718","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"054f416d-13ee-4149-8bdc-0d9c0125f048","Hamidi, Bahram, DDS","-74.0082767701234","40.7138704842843","dentist","","21 Murray St Fl 4","New York","10007","NY","US","(212) 346-0893","","https://www.tribeca.dental/murray","","","0.9199122190475464","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-10-17T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ff8b5819-d271-4299-ab23-ac13c9273e89","Metropolitan Dental Associates","-74.00846306","40.71190908","dentist","general_dentistry | health_and_medical","225 Broadway","New York","10007-3001","NY","US","+12127327400","mario@metropolitandental.com","https://downtown-manhattan-dental.com/","https://www.facebook.com/102351076535620","Metropolitan Dental Associates","0.9902192950248718","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"c307b3fd-7f90-4d86-acff-dc5c706af91e","Dental Specialty Associates","-74.00844316","40.71187659","dentist","endodontist | periodontist","225 Broadway","New York","10007-3001","NY","US","+12123749500","mario@metropolitandental.com","https://manhattan-dental-specialty.com/","https://www.facebook.com/174247189310809","Dental Specialty Associates, PC","0.9199122190475464","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
