"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"AK","Alaska","0109ad4b-6119-4a89-98d0-a0aac902bc74","K-Beach Dental Group","-151.22051896","60.51480313","dentist","pediatric_dentist","36892 Mallard Rd","Kenai","99611-6434","AK","US","+19072839210","kbeachdental@gmail.com","https://kbeachdental.com","https://www.facebook.com/670052159993160","","0.9575434327125549","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AK","Alaska","0372b6d8-8130-4d7a-ade0-3d0dacdf9762","Four Corners Dental Group","-147.80660308","64.83621418","dentist","general_dentistry | health_and_medical","3487 Airport Way","Fairbanks","99709-4761","AK","US","+19074797771","fairbanksoffice@gmail.com","http://fourcornersdentalfairbanks.com/","https://www.facebook.com/170639499791442","","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","04728ebb-49d2-44dc-9778-8ad2cdb58f74","Clear Smiles Alaska","-149.842088657068","61.1349673241064","dentist","","3900 Arctic Blvd Ste 103","Anchorage","99503","AK","US","(907) 522-5000","","https://clearsmilesalaska.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2024-08-02T00:00:00.000 | 2026-06-11T11:57:15Z"
"AK","Alaska","05e336dc-7cea-485d-aedd-8aed5161c1ed","Moose River Dental","-150.78821801","60.53632825","dentist","general_dentistry | health_and_medical","34798 Sterling Hwy","Sterling","99672","AK","US","+19072605200","mooseriverdental@gmail.com","http://www.mooseriverdental.com/","https://www.facebook.com/610238779096950","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","06ae5032-55a6-4b87-84ce-ec02b6894b54","Andrew Wappett DMD PC Family Dentistry","-147.6825407","64.85367714","dentist","general_dentistry | doctor","1131 Sadler Way","Fairbanks","99701-3171","AK","US","+19074568100","wappett.dental@gmail.com","http://wappettdental.com/","https://www.facebook.com/361472603954819","Andrew Wappett, DMD, PC","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","0745f48b-f164-4d71-964c-48ad9202013f","Mittelstadt Richard Wells","-149.91872267","61.19496422","dentist","cosmetic_dentist | doctor","1840 W Northern Lights Blvd","Anchorage","99517-3342","AK","US","+19072729214","seekyefirstkg@yahoo.com","https://www.stclairdentalcenter.com/","https://www.facebook.com/1611889725621762","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","0812305c-73f6-41f3-aee2-13973f31b82f","Century Dental Center","-149.87614692","61.18841735","dentist","cosmetic_dentist | endodontist","3501 Denali St","Anchorage","99503-4036","AK","US","+19075612475","info@century-dental.com","http://century-dental.com/","https://www.facebook.com/110033927118772","James E Hyer","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","0826ccc5-e614-4bf3-af47-60e3a14e7d70","Eagle View Family Dental","-149.57244","61.32272","dentist","health_and_medical","16635 Centerfield Dr","Eagle River","99577-7745","AK","US","+19076945207","patientcare@evfdental.com","http://evfdental.com/","https://www.facebook.com/881516442001892","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","089dee94-84d4-459b-b4e0-c85e572617c9","Spalding Dental","-149.869974","61.196975","dentist","doctor | health_and_medical","2525 Gambell St","Anchorage","99503-2838","AK","US","+19072766288","charlesspaldingdmd@gmail.com","http://spaldingdental.com/","https://www.facebook.com/960049504007059","Spalding Dental, LLC","0.9512438774108887","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AK","Alaska","0934dad1-5526-4ef5-a9d7-05d0a7b5b4a6","North Coast Family Dentistry","-149.84412458","61.13753606","dentist","general_dentistry","2020 Abbott Rd","Anchorage","99507-4624","AK","US","+19073442483","ncfd@northcoastfamilydentistry.com","http://northcoastfamilydentistry.com/","https://www.facebook.com/621357458356433","Coast Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","0ae4cc53-f0ea-453b-9794-ce557bb94aee","Alaskan Family Dental Center","-149.44063811","61.58198214","dentist","general_dentistry | medical_service_organizations","281 N Main St","Wasilla","99654-7046","AK","US","+19073760452","hello@akfamilydental.com","http://akfamilydental.com/","https://www.facebook.com/1705413039675854","Advanced Family Dentistry","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AK","Alaska","0b7d89ec-971b-49f4-be61-4bc447b73e2c","Glenn E. Lockwood, DDS, Dentist","-151.251453","60.553658","dentist","","605 Marine Ave","Kenai","99611-6928","AK","US","+19072834875","","https://www.kenaiakdentalclinic.com/our-practice/","https://www.facebook.com/561128314240303","Glenn E. Lockwood, DDS, Dentist","0.6142417788505554","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AK","Alaska","0be35a38-7be8-4646-ae52-56255ef08196","River City Dental","-151.24373371","60.56003112","dentist","general_dentistry | doctor","120 Trading Bay Rd","Kenai","99611-7761","AK","US","+19073350363","frontdesk@rivercitydental.com","https://rivercitydental.com/","https://www.facebook.com/796168353800871","River City Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
