"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"AZ","Arizona","00825bc4-2772-4a29-ad8a-e61ef296bfc4","Alex Martin DDS","-111.88858375","33.58419905","dentist","general_dentistry | health_and_medical","10752 N 89th Pl","Scottsdale","85260-6251","AZ","US","+19289166440","officemanager@vipdentistry.com","https://www.vipdentistry.com/","https://www.facebook.com/253822034641275","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","00966508-b377-4b12-bd7a-88864e3f5874","Scottsdale Perfect Smiles","-111.83296591","33.58195701","dentist","general_dentistry | cosmetic_dentist","10565 N 114th St","Scottsdale","85259","AZ","US","+14806610660","info@scottsdaleperfectsmiles.com","https://www.scottsdaleperfectsmiles.com/","https://www.facebook.com/343036945776253","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","00d52822-67f2-41e9-ade7-f0d18ccd5244","Wellness Dental","-110.85878973","32.24934146","dentist","general_dentistry","6288 E Grant Rd","Tucson","85712-5831","AZ","US","+15202142484","hello@mywellnessdental.com","https://www.mywellnessdental.com/","https://www.facebook.com/197087320165001","Wellness Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","00e7d66b-e201-4c8f-957c-c1b759d98641","Dentaltown","-111.97632","33.35904","dentist","health_and_medical | mass_media","9633 S 48th St","Phoenix","85044-5630","AZ","US","+14805980001","kami@farranmedia.com","http://www.dentaltown.com/","https://www.facebook.com/206958074708","Dentaltown","0.7255774736404419","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AZ","Arizona","011e4255-a813-46d5-b2ef-41bf9ef6c9d4","Dr. Jesus Lopez","-110.85589783","32.24560799","dentist","","6375 E Tanque Verde Rd","Tucson","85715-3837","AZ","US","+15208868090","","","https://www.facebook.com/519647081534823","","0.709746778011322","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AZ","Arizona","0135ba5f-b07a-47c8-9ae9-482880104681","Gentle Dental 45th Street","-111.984068987305","33.6411766215847","dentist","","4550 E Bell Rd Ste 178 Bldg 8","Phoenix","85032","AZ","US","(602) 457-4642","45thstreet@gentle1.com","https://www.interdent.com/gentle-dental/locations/az/phoenix/4450-east-bell-road-dentist-office","https://www.facebook.com/866722450102287","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2022-12-27T00:00:00.000 | 2026-06-11T11:57:15Z"
"AZ","Arizona","01530c17-1e58-4b0a-a1af-b2d2c329b7f7","Desert View Dental","-112.06323937","33.60783333","dentist","general_dentistry | cosmetic_dentist","770 E Thunderbird Rd","Phoenix","85022-5307","AZ","US","+16022477591","responses@opdaz.com","https://desertviewdentalaz.com/appointment-request/","https://www.facebook.com/1509702609344802","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","01c8dcb7-0f9d-4428-8ae9-b8af57f9c998","Sonoran Sky Dental","-112.26437508","33.50779686","dentist","general_dentistry","9515 W Camelback Rd","Phoenix","85037-1355","AZ","US","+16238778110","","http://sonoranskydental.com/","https://www.facebook.com/118299874702363","","0.9784955382347107","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"AZ","Arizona","01ecf359-89a8-4cd8-87ab-34b438a2530a","The Tooth Place","-111.92931407","33.35031524","dentist","general_dentistry | health_and_medical","7420 S Rural Rd","Tempe","85283-4655","AZ","US","+14808381044","","http://toothplaceaz.com","https://www.facebook.com/433533283519993","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","01f1ec7f-a9d9-4cd6-b022-5b4d76ecac6c","Diamondback Dentistry","-112.09230043","33.64085234","dentist","general_dentistry","1512 W Bell Rd","Phoenix","85023-3466","AZ","US","+16028668183","hello@diamondbackdentistry.com","http://www.diamondbackdentistry.com/","https://www.facebook.com/563560556846340","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"AZ","Arizona","029fa2c3-693f-43db-96bb-9c90762ade1d","William Hamilton Daggett","-110.89284711","32.22852594","dentist","health_and_medical | cosmetic_dentist","4676 E 5th St","Tucson","85711-7006","AZ","US","+15203231462","daggettfrontoffice@gmail.com","","https://www.facebook.com/133058446745938","","0.9455822110176086","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
