"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"CA","California","0002bf84-9121-40f9-8d45-243a93a72d7d","Santiago A Rojo DDS Inc.","-117.27130995","33.91649602","dentist","general_dentistry | teeth_whitening","22435 Alessandro Blvd","Moreno Valley","92553-8356","CA","US","+19516563100","rojofam.dental2_mv@hotmail.com","http://drrojodds.com/","https://www.facebook.com/388316541235027","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","0003b5db-ec3f-44a6-833c-bc026a0302b3","Victor Valley Dental Plaza","-117.31094268","34.51824011","dentist","general_dentistry | health_and_medical","14707 7th St","Victorville","92395-4014","CA","US","+17602451015","","http://hankyoungchoedds.mydex.com/A8zZejjPcSA","https://www.facebook.com/134202649964400","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","0007dd9a-8828-486f-81b1-8f74dd4092ff","Premium Smile Care","-117.45579584","33.92037459","dentist","general_dentistry | medical_service_organizations","9825 County Farm Rd","Riverside","92503-3504","CA","US","+19513241212","premiumsmilecare@hotmail.com","http://www.premiumsmilecare.org/","https://www.facebook.com/280943302016170","Premium Smile Care","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","000d3e5d-7baa-4b90-bc3c-577766c4d11a","Encinitas Smiles Dentistry","-117.28368054","33.0355428","dentist","general_dentistry | cosmetic_dentist","415 Santa Fe Dr","Encinitas","92024-5134","CA","US","+17603882161","encinitassmilesdentistry@smilegeneration.com","https://www.EncinitasSmilesDentistry.com/?sc_cid=Facebook%3AO%3AGP%3A432%3ASocial%3AGeneral%3Ana&_vsrefdom=organic_social&y_source=1_MzA4ODcyNy01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://www.facebook.com/967100630070701","Smile Generation","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","000e573b-b9cf-43df-a8da-006255290d7d","Nerad Steven A DMD-Children's","-121.866880093295","37.6741567383346","dentist","","1024 Serpentine Ln Ste 107","Pleasanton","94566","CA","US","(925) 846-3336","ur_kids_dentist@att.net","","https://www.twitter.com/stevenaneraddmd","","0.9199122190475464","open","7","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-12-29T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","00111135-64d1-4188-9c91-8e02c1d63693","United Family Dental Group","-118.1593312","34.02105815","dentist","oral_surgeon | pediatric_dentist","5109 Whittier Blvd","Los Angeles","90022-3926","CA","US","+12093819050","","http://www.united.com/","https://www.facebook.com/2301393770133086","United","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","0017170f-7abc-43cc-9ac2-0bf7c8c6c193","Uptown Dental","-122.269990507557","37.8072644133513","dentist","","1716 Telegraph Ave","Oakland","94612","CA","US","(510) 893-4321","","http://www.uptownoaklanddental.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-05T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","002dd975-b265-4318-a3f7-5ca6bc1ec2e3","Robles Christline","-118.44938299","34.22030475","dentist","health_and_medical | medical_service_organizations","8215 Van Nuys Blvd","Los Angeles","91402-4810","CA","US","+18189978097","","","https://www.facebook.com/161123290575935","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","002fd920-c0d4-43ce-86c4-f71b9886be8f","David L Dains Inc","-117.98953736","33.70459857","dentist","","17751 Beach Blvd","Huntington Beach","92647-6833","CA","US","+17148471884","","","https://www.facebook.com/101368663311120","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CA","California","00348ec2-040b-4616-8f87-b829a3be919a","W Dental Care","-121.95081764","37.31432275","dentist","general_dentistry | cosmetic_dentist","747 S Winchester Blvd","San Jose","95128-2990","CA","US","+14082467474","wdentalcare@gmail.com","http://www.wdental.net/","https://www.facebook.com/195550487128020","Wdental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
