"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"CO","Colorado","0003e812-fdec-449a-95e2-8cad560e3a48","Modern Mint Dental","-105.10200602","40.01491836","dentist","","2934 Arapahoe Rd","Lafayette","80026-8057","CO","US","+17208530350","contact@modernmintdental.com","https://modernmintdental.com/","https://www.facebook.com/102361872666886","","0.9653883576393127","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"CO","Colorado","00103d68-5e40-412c-83e8-6f303c9e9944","Taylor Dental Arts","-105.08702779","39.83931719","dentist","general_dentistry | cosmetic_dentist","7913 Allison Way","Arvada","80005-4450","CO","US","+13034201114","info@taylordentalarts.com","http://taylordentalarts.com/","https://www.facebook.com/426198830749582","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CO","Colorado","0020eb11-13f1-4a55-8d7e-42ca7c98b425","Atwood Advanced Dentistry","-108.59356567","39.0930911","dentist","general_dentistry | cosmetic_dentist","2478 Patterson Rd","Grand Junction","81505-3605","CO","US","+19702412430","atwoodpros@gmail.com","http://www.atwoodadvanceddentistry.com/","https://www.facebook.com/541463605998222","Atwood Advanced Dentistry","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CO","Colorado","002c3abf-85c2-4ebd-8e5b-209d82201579","Dr. Carrie Leypoldt","-105.1665017","39.9699751","dentist","doctor | health_and_medical","168 Centennial Pkwy Ste #190","Louisville","80027","CO","US","3036664499","","https://louisvillefamilydds.com/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-09-05T13:45:24.323Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CO","Colorado","0105f695-208b-4df2-8462-643d602641d1","Just For Grins Vision LLC","-104.73417207","38.73838027","dentist","general_dentistry | cosmetic_dentist","6436 S US-85-87","Fountain","80817-1005","CO","US","+17193925111","just4grinsdental@gmail.com","http://justforgrinsco.com/","https://www.facebook.com/1564934410478930","Just For Grins","0.8678160393238068","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"CO","Colorado","011603b6-3ebd-433d-aef9-16e842ea83fa","Tobler Dental","-107.85538734","38.46692648","dentist","health_and_medical | medical_service_organizations","2033 Market St","Montrose","81401-5531","CO","US","+19702491733","","http://www.toblerdentalgroup.com/","https://www.facebook.com/207291752672561","","0.9886326193809509","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"CO","Colorado","0117332c-8ff0-485d-8f64-7dd0c78112b7","Grandview Dental","-104.74332499","39.59346259","dentist","general_dentistry","6830 S Liverpool St","Aurora","80016-2542","CO","US","+13039970232","info@grandviewdentalcolorado.com","https://www.grandviewdentalcolorado.com/","https://www.facebook.com/189858967733315","","0.9946594834327698","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"CO","Colorado","014662cc-6a91-45a9-b1f3-d30711c13405","Elevation Dental","-105.3489504","39.65825429","dentist","general_dentistry | health_and_medical","30772 Southview Dr","Evergreen","80439-2213","CO","US","+13036746264","info@elevationdental.net","http://elevationdental.net","https://www.facebook.com/865957870141392","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CO","Colorado","01e943b0-f6a1-4319-a4fd-5d50bb6fc483","Barrett Family Dentistry","-105.07269303","40.42355423","dentist","general_dentistry","2992 Ginnala Dr","Loveland","80538-2701","CO","US","+19706632133","barrettfamilydentistry@gmail.com","http://www.familydentistloveland.com","https://www.facebook.com/173103762705153","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"CO","Colorado","022a10b1-ddd0-4fd6-bf23-0aba41b831d5","Loveland Dental Group","-105.00744257","40.40872061","dentist","general_dentistry | health_and_medical","1569 Fall River Dr","Loveland","80538-9059","CO","US","+19706694433","lovelanddentalgroup@smilegeneration.com","https://www.LovelandDentalGroup.com/?sc_cid=Facebook%3AO%3AGP%3A534%3ASocial%3AGeneral%3Ana&_vsrefdom=organic_social&y_source=1_MTEwMjg3OC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://www.facebook.com/196519547054953","Smile Generation","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
