"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"DE","Delaware","00429043-2d41-4024-afe8-a117c67daa0c","Pierre Toussaint Dental Office","-75.54126765","39.74099603","dentist","general_dentistry | medical_service_organizations","830 N Spruce St","Wilmington","19801-4200","DE","US","+13026528947","","https://www.ministryofcaring.org/services/support-services","https://www.facebook.com/225789540807671","","0.5287230610847473","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"DE","Delaware","008e7712-c6f4-429a-be79-2f15d394df7d","Dr. Monica Mehring Family Dentistry","-75.75389768","39.65355152","dentist","general_dentistry | pediatric_dentist","179 W Chestnut Hill Rd","Newark","19713-2210","DE","US","+13023680054","","http://www.mehringdds.com","https://www.facebook.com/175342649147015","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","01f31861-5f20-4206-aa24-7bd0212e7294","Peninsula Dental of Millsboro","-75.28863664","38.57362528","dentist","general_dentistry","26670 Centerview Dr","Millsboro","19966-3584","DE","US","+13022973750","info.peninsuladental@gmail.com","http://peninsuladentalmillsboro.com/","https://www.facebook.com/10150151618375311","Peninsula Dental, LLC.","0.9902192950248718","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","0558bfcc-01b7-438a-9638-f00c4d4fc467","Advanced Dental Artistry: Kenneth J. Yost, DMD, PA","-75.5266718674005","39.802523483635","dentist","","1407 Foulk Road Suite, Suite #202","Wilmington","19803","DE","US","(302) 477-1888","dentistwilmingtonde@gmail.com","https://www.kennethjyostdmd.com","https://www.facebook.com/235180426580502","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-06-02T00:00:00.000 | 2026-06-11T11:57:15Z"
"DE","Delaware","0664b560-2188-4fd9-8ce2-1ab090366dc8","Woodmill Dental","-75.66962216","39.71886066","dentist","general_dentistry | doctor","5185 W Woodmill Dr","Wilmington","19808-4067","DE","US","+13029988588","john@woodmilldental.com","http://www.woodmilldental.com/","https://www.facebook.com/190289891400425","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","0719cb96-7001-4010-b30d-0493d62874b2","Dr Daniels Office","-75.5724662046601","39.7581035677005","dentist","","2300 Pennsylvania Ave","Wilmington","19806","DE","US","(302) 658-7354","","https://www.orthodontistwilmington.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2024-01-09T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","07be363a-9248-4ec9-a5d3-ae8aada23611","DTCC Dental Health Center","-75.55298927","39.73991219","dentist","general_dentistry","200 N Orange St","Wilmington","19801-2454","DE","US","+13025715364","","","https://www.facebook.com/508382212507257","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","0dc9e559-d9b5-4c61-99c0-9022ec2c344f","J. Michael Fay, DDS, PA","-75.6698264","39.732707","dentist","doctor | health_and_medical","3105 Limestone Rd Ste 304","Wilmington","19808","DE","US","3029982244","","http://www.pikecreeksmiles.com/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-04-10T06:31:49.893Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"DE","Delaware","0feb0efd-b48e-4aeb-9661-23fa2cf9ad8c","Lawrence Louie","-75.5437274331795","39.1529227053597","dentist","","250 Beiser Blvd #101, Dover, DE 19904","Dover","19904","DE","US","(302) 674-5437","","","https://www.facebook.com/111159782282001","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-12-02T00:00:00.000 | 2026-06-11T11:57:15Z"
"DE","Delaware","112a617e-cb97-4fcc-8ad9-74e109d06010","Burris Cosmetic and Family Dentistry","-75.54819394","39.11100455","dentist","general_dentistry | cosmetic_dentist","199 South St","Camden","19934-1300","DE","US","+13026973125","info@burris-cosmeticandfamilydentistry.com","http://www.burriscosmeticandfamilydentistry.com/","https://www.facebook.com/1532862643669709","Alvis D. Burris, DMD, Dentist - Leading Physicians of the World","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
