"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"GA","Georgia","0001e015-32fd-4682-a925-e636dadee1ee","Prium Dental","-84.14654665","34.0234418","dentist","general_dentistry | health_and_medical","2805 Peachtree Industrial Blvd","Duluth","30097-8169","GA","US","+17704762252","priumdental@gmail.com","http://www.PriumDentalGroup.com/","https://www.facebook.com/1643871342560371","Prium Dental","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"GA","Georgia","000bdfd2-2f04-49e5-8972-eca0ea25ffc2","Northwest Oral And Maxilliofacial Surgery","-84.2916641235352","34.8809394836426","dentist","","21 Kimberly Ln","Blue Ridge","30513","GA","US","(706) 632-7801","","http://www.nworalmax.com","https://www.facebook.com/105766409489961","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"GA","Georgia","002df213-7bd0-47ef-877d-6ebdaf82e906","Hallmark Dental","-84.62758114","33.99276959","dentist","general_dentistry | doctor","1600 Kennesaw Due West Rd NW","Kennesaw","30152-4301","GA","US","+16783550222","smiles@hallmarkdentistry.com","http://www.hallmarkdentistry.com/","https://www.facebook.com/717396161737051","","0.9719708561897278","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"GA","Georgia","004ae1f8-0c34-4b51-8db2-c2ba3c15bb9b","Dr. Michael Beckerman, DMD & Dr. H. Steve Woodall, DDS","-84.9304495","33.7310754","dentist","health_and_medical","512 W Bankhead Hwy","Villa Rica","30180","GA","US","7704595197","","http://www.villaricadentist.com/","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2025-08-31T01:46:52.870Z | 2026-06-11T11:57:15Z"
"GA","Georgia","005147ca-19cf-4cd2-a7b5-0b05e0245c99","Brighter Smiles Dentistry","-84.1301896876221","34.0552276006348","dentist","health_and_medical","7775 McGinnis Ferry Rd Ste 202","Johns Creek","30024","GA","US","4707190213","","https://www.brsmilesdmd.com/","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2025-02-22T10:46:18.577Z | 2026-06-11T11:57:15Z"
"GA","Georgia","009e1e93-fd64-47f1-b784-9518f425269b","David Kurtzman DDS","-84.552468864029","33.9668050113573","dentist","","611 Campbell St","Marietta","30066","GA","US","(770) 980-6336","dkdds@drkurtzman.com","http://drdavidkurtzman.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2024-07-17T00:00:00.000 | 2026-06-11T11:57:15Z"
"GA","Georgia","00c5e3d2-38a4-456d-a911-5be9516dbcbb","Dug Gap Family Dentistry","-84.99233443","34.75527448","dentist","endodontist | orthodontist","1405 Dug Gap Rd","Dalton","30720-5008","GA","US","+17067058397","duggapfd@mydentalmail.com","https://duggapfamilydentistry.com/","https://www.facebook.com/726862960725246","Dental Health Society online","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"GA","Georgia","00e45368-f804-4511-9aaa-f8c8c469ecc7","Steven Spiers Dobbs","-81.49482679","31.21587877","dentist","orthodontist","165 Juniper Cir","Brunswick","31520-1953","GA","US","+19125544552","","","https://www.facebook.com/135164040461929","Clear Smiles Week","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"GA","Georgia","00f556ed-9afe-417e-bab3-afeda4bac278","Dream Smile Dental","-84.95119994","34.76079635","dentist","general_dentistry | cosmetic_dentist","1100 E Walnut Ave","Dalton","30721-4171","GA","US","+17065084222","dreamsmiledentalga@gmail.com","https://www.dsdentaldaltons.com/","https://www.facebook.com/241058292428067","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"GA","Georgia","012c3aca-66c3-4386-a95a-a6a7f053a052","Coast Dental","-84.1969688858497","33.7628385052016","dentist","","1234 S Hairston Rd Suite 28","Stone Mountain","30088","GA","US","(404) 297-6635","stonemountain@coastdental.com","https://www.coastdental.com/dentist-office/stone-mountain-ga-30088","https://www.twitter.com/coastdental","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2021-05-16T00:00:00.000 | 2026-06-11T11:57:15Z"
