"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"HI","Hawaii","006fd907-c466-47b1-8dd3-4d66d543d67c","Keiki Dental Specialists","-155.0762079","19.7115151","dentist","health_and_medical","66 Kekuanaoa St","Hilo","96720","HI","US","8089351092","","","","","0.9199122190475464","open","7","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-04-21T19:13:44.503Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"HI","Hawaii","00996c4e-e480-443b-bd47-625dfcf13486","Hyland Dental Care","-156.46963","20.888031","dentist","orthodontist | doctor","74 Lono Ave","Kahului","96732-1626","HI","US","+18088777661","info@islandsmilesdental.com","http://www.HylandDental.com/","https://www.facebook.com/277960382695044","Hyland Dental","0.926297664642334","","5","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"HI","Hawaii","01d9b2c0-10be-4b08-b8d2-e230fe10a531","Kalihi Dental Group","-157.88051483","21.3340599","dentist","general_dentistry | health_and_medical","2153 N King St","Honolulu","96819-4500","HI","US","+18088473702","l.kanoho@gmail.com","http://www.myhawaiidentist.com","https://www.facebook.com/172060162805931","Dr Russell Masunaga DDS","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"HI","Hawaii","02ec4727-b9c7-4e5c-8e61-ac39ca2eac3d","Stewart Ahn DDS","-157.860902","21.321334","dentist","","1520 Liliha St","Honolulu","96817-3562","HI","US","+18085334606","office.dental201@gmail.com","https://ahn10113.td.prosites.com/","https://www.facebook.com/377458925449360","Prosites","0.7574498057365417","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"HI","Hawaii","0350de57-a16d-408b-a8ec-90840d7469ff","Ko'olau Family Dentistry","-157.799997","21.407223","dentist","chiropractor | cosmetic_dentist","45-718 Kamehameha Hwy","Kaneohe","96744-2947","HI","US","+18082476658","","https://www.chamberofcommerce.com/.../32602088-koolau-family-dentistry","https://www.facebook.com/132925263442066","","0.8671795725822449","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"HI","Hawaii","03ba1d00-ce45-4b08-ab1d-22ece5782b8b","Dumbrique Dental Clinic","-158.0169","21.3816099","dentist","doctor | family_practice","94-366 Pupupani St","Waipahu","96797-2602","HI","US","+18086762435","celiad03@hawaiiantel.net","http://www.dumbriquedental.com/","https://www.facebook.com/557538821070994","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"HI","Hawaii","05feeac6-3e07-4f3a-8a8c-94c3f23aeec5","Nelson Hatanaka, DDS","-157.703394655559","21.2784447108993","dentist","","266 Lunalilo Home Rd Ste C","Honolulu","96825","HI","US","(808) 395-1922","nnhatanakadds@hotmail.com","http://hawaiikaidentist.net","https://www.facebook.com/163344140350499","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-06-06T00:00:00.000 | 2026-06-11T11:57:15Z"
"HI","Hawaii","0663ae65-4a6b-48ee-9998-ba733b4af4ad","Keri Anne J Wong DDS LLC","-157.84845288","21.30192907","dentist","health_and_medical | doctor","1010 S King St","Honolulu","96814-1700","HI","US","+18085962553","office@keriwongdds.com","http://www.keriwongdds.com/","https://www.facebook.com/669415473152627","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"HI","Hawaii","07647acf-6d24-4e98-8cc0-6a5828865e71","Dr. Carl Kobayashi","-156.68004381","20.87750422","dentist","cosmetic_dentist | health_and_medical","154 Papalaua St","Lahaina","96761-1616","HI","US","+18086623300","","http://www.wonderfulsmiles.com","https://www.facebook.com/173449582692792","Wonderful Smiles","0.901326596736908","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"HI","Hawaii","07d56714-d6e9-483a-a519-4cef9dd7afd6","J Kimo Fukuroda Dental Office","-157.8485318","21.30174096","dentist","general_dentistry | medical_service_organizations","1010 S King St","Honolulu","96814-1700","HI","US","+18085971696","","","https://www.facebook.com/102393823180975","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
