"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"ID","Idaho","00f60e86-108a-40a7-a726-106c3fd84f26","Emmett Dental Group","-116.50018783","43.87164368","dentist","general_dentistry | medical_service_organizations","507 S Washington Ave","Emmett","83617-3522","ID","US","+12083656313","emmettdental@hotmail.com","http://www.emmettdental.com/","https://www.facebook.com/153556261348218","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","0163679c-044f-4a01-b605-fecb31104df3","Boise Valley Orthodontics","-116.59362427751","43.5899868067553","dentist","","621 N Midland Blvd # 102","Nampa","83651","ID","US","(208) 649-5721","","http://www.boisevalleyortho.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","01afeec4-6893-4bac-9df8-4d4560629bb2","Kyle J. Siemen","-112.45448937","42.88746243","dentist","general_dentistry | health_and_medical","333 W Cedar St","Pocatello","83201-5045","ID","US","+12082336912","sagedental@qwestoffice.net","http://www.sage-dental.com/","https://www.facebook.com/512839195395121","Sage Dental Pocatello Kyle J. Siemen, DMD","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","01b9b5f1-92e3-40fd-b9fc-0010e14b27c8","Northwest Dental Center","-116.28525082","43.62698418","dentist","general_dentistry | medical_service_organizations","8300 W Northview St","Boise","83704-7132","ID","US","+12083144416","office@nwdentalcenter.com","http://nwdentalcenter.com/","https://www.facebook.com/198369863586698","","0.9902192950248718","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","01f42504-af2a-49b3-9b3b-61309efb5c6f","Glenn Richey, DDS","-116.328939","46.500311","dentist","","13826 Highway 12","Orofino","83544-9117","ID","US","+12084764413","","","https://www.facebook.com/1555235984742536","","0.582554817199707","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"ID","Idaho","02a41982-58a1-42f9-b573-90da5462aa6c","Scott E. Hayhurst Family and Cosmetic Dentistry","-116.27383772","43.6264338","dentist","pediatric_dentist | endodontist","7337 W Northview St","Boise","83704-7360","ID","US","+12083767721","front1@boisedentistsmiles.com","http://www.boisedentistsmiles.com/","https://www.facebook.com/155295311203206","Scott E. Hayhurst DMD Boise Dentist","0.9183015823364258","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"ID","Idaho","02d8859d-1e1d-4d1d-911c-020a4cd9917e","Brian W. Charles","-116.09466808","44.9123091","dentist","cosmetic_dentist","509 Pine St","McCall","83638-5017","ID","US","+12086347653","www.brianwcharlesdentistry@hotmail.com","http://www.mccalldentistry.com/","https://www.facebook.com/456341434480843","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","0313e66f-6299-4a3b-b798-b18843fc2b51","Idaho Family Dental Center, PLLC","-116.796519","47.72997","dentist","health_and_medical","509 W Hanley Ave Ste 201","Coeur d'Alene","83815","ID","US","2086675447","","https://www.idahofamilydentalcenter.com/","","","0.9199122190475464","open","7","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-08-19T01:48:36.620Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","0316d0c0-1677-4c98-9a55-6f9480070181","Dr Cullums Oral & Facial Surgery","-116.806533","47.692616","dentist","doctor | health_and_medical","1859 N Lakewood Dr","Coeur D'Alene","83814-2636","ID","US","","","","https://www.facebook.com/254616974614130","","0.9099302887916565","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"ID","Idaho","03938bbb-5669-4f8b-a445-f57061bae968","Maplewood Dental","-117.008534380383","46.40384082358","dentist","","1606 17th St","Lewiston","83501","ID","US","(208) 743-0141","perezdmd@cableone.net","http://www.maplewooddental.net","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-09-30T00:00:00.000 | 2026-06-11T11:57:15Z"
"ID","Idaho","03d8b99f-b050-4ae6-b8ca-3f441000dbb2","Dille Dental Family and Cosmetic Dentistry","-116.96102152","44.2454754","dentist","cosmetic_dentist | general_dentistry","513 E Main St","Weiser","83672-2225","ID","US","+12085491732","dilledental@gmail.com","http://dilledental.com/","https://www.facebook.com/315645555309829","Dille Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ID","Idaho","04e720bc-4966-4690-be79-92bfed45e8bc","Poole & Willis Orthodontics","-111.876331751402","42.0956566937914","dentist","","29 S State St","Preston","83263","ID","US","(208) 852-1866","","https://smilesbywillis.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
