"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"IN","Indiana","0005bb78-6359-4478-8ee0-6c4365900cb0","Steven E. Lynn","-86.57018188","39.13435833","dentist","general_dentistry","2920 S McIntire Dr","Bloomington","47403","IN","US","+18123238112","","http://bloomingtonimplantdentist.com/","https://www.facebook.com/110193772378471","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","0008b1e3-b4a5-4e7f-9630-6e626838a739","Frame Dental Clinic","-84.96685388","39.82056902","dentist","general_dentistry | doctor","4760 W National Rd","Richmond","47374-4745","IN","US","+17659355891","","https://pay.balancecollect.com/m/framedentalclinic","https://www.facebook.com/1680025642274059","","0.982365071773529","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","000c3985-04b1-4f1a-a542-94496203863e","Smile Design Institute","-86.2620351427932","39.8509268711588","dentist","","5470 Lafayette Rd","Indianapolis","46254","IN","US","(317) 293-4611","smiledesigninstitute@edpsmiles.com","https://www.mysmiledesigninstitute.com","https://www.facebook.com/141901245855441","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2021-03-10T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","0016a4dd-4825-49cf-b0fd-b92a60ea7c27","Shorey Family Dental","-86.01927959","39.66631559","dentist","health_and_medical | pediatric_dentist","8325 E Southport Rd","Indianapolis","46259-6833","IN","US","+13178629800","office.shoreyfamilydental@gmail.com","http://shoreyfamilydental.com","https://www.facebook.com/121234264601829","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","0051e78f-0f87-43ac-b028-290c3c18e2cc","Downtown Dental Group","-86.15946658","39.77008116","dentist","general_dentistry | health_and_medical","201 N Illinois St","Indianapolis","46204-1904","IN","US","+13172372225","rivernorth@downtown-dental.com","http://www.downtown-dental.com/insurance","https://www.facebook.com/508840712547473","Downtown Dental River North","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","00a87b21-22c2-4ce0-a11c-bd53ee9a4a3a","Nora Dental Associates","-86.14233131","39.91300555","dentist","general_dentistry","860 E 86th St","Indianapolis","46240-6859","IN","US","+13175752888","info@noradds.com","https://www.noradds.com/","https://www.facebook.com/408218342914569","","0.9984472560882568","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","00d29220-e414-46a6-bba1-b3377b3ac56f","Dr. Daniel White","-86.24017075","41.6782866","dentist","doctor | medical_service_organizations","211 N St Peter St","South Bend","46617-2823","IN","US","+15742889400","","http://drdanwhite.com","https://www.facebook.com/228858160513931","","0.9560694694519043","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","00e146bc-7a90-4fde-8c35-e8a52f9d3db8","Wilhoite Family Dental","-85.41773951","40.19266874","dentist","cosmetic_dentist | health_and_medical","2623 W Jackson St","Muncie","47303-4634","IN","US","+17652896373","info@wilhoitefamilydental.com","http://wilhoitefamilydental.com/","https://www.facebook.com/382955050616","Wilhoite Family Dental","0.9984182924032211","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","00e41c27-f9d0-477e-bd70-34e1edd72b68","Indy Dental Health","-86.08469054","39.63467103","dentist","orthodontist | doctor","997 E County Line Rd","Greenwood","46143-0026","IN","US","+13178651193","zscearce@hotmail.com","http://www.mysignaturedental.com/","https://www.facebook.com/394745220684954","Signature Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","00e8ceea-568e-4fc8-919e-5f5cb6f06eb4","Preferred Choice Dental","-87.1992582","41.2078034","dentist","health_and_medical","534 N Halleck St","De Motte","46310","IN","US","2199875733","","https://preferredchoicedental.com/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2023-08-03T05:28:52.120Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","012e7de5-f715-4cc1-b349-af2efa3a3c41","Kimberly Wagler Parsons","-87.17527979","38.65884807","dentist","cosmetic_dentist | health_and_medical","2 Walnut St E","Washington","47501-2785","IN","US","+18122544684","parsonsdental@gmail.com","https://kimberly-wagler-parsons-dds.hub.biz/","https://www.facebook.com/398924130167490","","0.9885063171386719","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","0158c923-0d3b-466b-8b6c-be6b0a9cfce4","Summit City Smiles","-85.12109883","41.09660577","dentist","general_dentistry | medical_service_organizations","1330 E State Blvd","Fort Wayne","46805-4422","IN","US","+12604845614","","http://www.dentistsinindiana.com/summit-city-smiles---ralph-g-merkel-dds-1837.html","https://www.facebook.com/295378150586573","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","017ebed4-8b54-466f-9d09-c379c3b1db00","Ackerman Gerald L DDS Ms","-85.1308664791643","39.6529303090025","dentist","","1605 Ohio Ave","Connersville","47331","IN","US","(765) 825-8449","","http://carabelli.com","https://www.facebook.com/105426033136619","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","01882022-f2e9-4091-a208-d5d883910a04","Wadas Dental of Munster","-87.51758586","41.56281187","dentist","general_dentistry | health_and_medical","417 Ridge Rd","Munster","46321-1570","IN","US","+12197858830","noreply@reputation.com","https://www.wadasdental.com/dentist-office/munster-in-46321/","https://www.facebook.com/161045427590442","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","019ee566-c106-4f9a-9b84-795c29892cbc","Scarlett Johansson","-86.121212297354","39.959893767889","dentist","health_and_medical | chiropractor","301 E Carmel Dr","Carmel","46032-0011","IN","US","+13175711271","frontdesk@taylorfamilydds.com","http://www.taylorfamilydds.com/","https://www.facebook.com/189999801013850","","0.7171441912651062","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IN","Indiana","01adb30d-73a6-4716-aec5-e0357586354f","Dr. Arnold Braun","-87.1173953146036","37.9018502493992","dentist","","3430 W State Road 66","Rockport","47635","IN","US","(812) 649-4416","","http://www.braundentalsmile.com","https://www.facebook.com/122369551155231","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","01f7267b-48f0-4b0b-847e-b58ba661e8d5","Hulen Family Dentistry","-86.04092206","40.27773232","dentist","cosmetic_dentist | health_and_medical","423 S Main St","Tipton","46072-2038","IN","US","+17656758745","info@hulendds.com","http://hulendds.com/","https://www.facebook.com/100326976785241","Hulen Family Dentistry, Inc","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IN","Indiana","020a14a5-0544-406c-b2ff-fef37090b621","Noel G. Garcia, DDS","-85.20273501","39.28281445","dentist","general_dentistry | doctor","295 Winding Way","Batesville","47006-7652","IN","US","+18129330188","garciadental@aspidamail.com","http://www.Batesvillefamilydentist.com/","https://www.facebook.com/440347229661071","Noel G Garcia, DDS,PC","0.9755851626396179","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
