"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"KS","Kansas","0014e32e-e061-4258-8406-9500d4d4ce0b","Greenhalgh Family Dental","-94.71481774","39.02585559","dentist","general_dentistry","5636 Nieman Rd","Shawnee","66203-2348","KS","US","+19136312400","smiles@greenhalghdental.com","http://www.greenhalghdental.com/","https://www.facebook.com/157924194241952","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","00535c4f-5cdf-41e9-bc20-5e73376cad47","LYNN E Otte","-96.9439026034147","38.6716992864407","dentist","","4 W Main St","Herington","67449","KS","US","(785) 258-2922","","https://weence.com/dentists/herington/otte-lynn-e-dds","https://www.facebook.com/134412139943615","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"KS","Kansas","00676a9e-7284-45ff-9e28-9b0da684ddae","Topeka Dentistry","-95.61989756","39.01629562","dentist","general_dentistry | cosmetic_dentist","3316 SE 28th Ter","Topeka","66605-2042","KS","US","+17852669100","info@thetopekadentistry.com","https://www.thetopekadentistry.com/","https://www.facebook.com/309017552627419","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","00ce248a-fb66-4008-92a5-70b934e2e12c","Dr. David Hart, DDS","-98.7635354735167","38.369973800757","dentist","","1821 Kansas Ave","Great Bend","67530","KS","US","(620) 792-5523","","https://www.cirrusdentalgroup.com","","","0.9199122190475464","open","5","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","015784e5-7587-449c-b884-97a13f2a1170","Frank Johnson and Lindsay Biggs-Michael","-95.71511837","39.04412791","dentist","general_dentistry | doctor","1244 SW Oakley Ave","Topeka","66604-1675","KS","US","+17853577706","patients@lindsaymichaeldentistry.com","http://frankjohnsondds.com/","https://www.facebook.com/102918659337903","Lindsay Michael Dentistry","0.9824835062026978","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"KS","Kansas","01c9fd54-072c-4544-8d5e-36e043788a9c","Midwest Dental","-96.97915554","37.67508772","dentist","general_dentistry | cosmetic_dentist","401 N State St","Augusta","67010-1105","KS","US","+13167752482","augusta@midwest-dental.com","https://midwest-dental.com/dental-office/augusta/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles","https://www.facebook.com/971408946061421","Midwest Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","022121d9-2695-4fbb-9759-98619ea0d749","Genesis Dental Overland Park","-94.72502792","38.92975329","dentist","health_and_medical","11016 Quivira Rd","Overland Park","66210-1239","KS","US","+19134698010","","","https://www.facebook.com/709224736145916","","0.8542801141738892","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"KS","Kansas","027f43d0-01aa-433a-bda7-cf647ef3e763","Accent Dental LLC","-94.68705216","37.38706257","dentist","general_dentistry | cosmetic_dentist","2002 S Rouse St","Pittsburg","66762-6629","KS","US","+16202312871","","https://www.accentdentalllc.com/","https://www.facebook.com/153719851168841","Accent Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","032e24aa-b96e-40c4-8b77-342eded89e62","Marlin Flanagin DDS","-96.19461372","38.41350715","dentist","general_dentistry | cosmetic_dentist","1200 C of E Dr","Emporia","66801-2578","KS","US","+16202091017","mflanagindds@gmail.com","https://www.dentistsemporiaks.com/","https://www.facebook.com/482719511792984","","0.9973287433385849","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"KS","Kansas","0335ff66-5387-496e-a835-e8a0f453b0a6","Topeka ProDental","-95.75759744","39.0135744","dentist","general_dentistry | medical_service_organizations","2930 SW Wanamaker Dr","Topeka","66614-4116","KS","US","+17853775472","jasonweberdds@gmail.com","http://www.topekaprodental.com/","https://www.facebook.com/248000425722595","","0.9722161889076233","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-06-08T13:20:12Z"
"KS","Kansas","038322ce-8ac8-4237-b28d-af8c45b783d8","Johnson County Dental Care","-94.6474371663362","38.9575687721785","dentist","","5329 W 94th Ter","Overland Park","66207","KS","US","(913) 341-7440","jocodental@yahoo.com","https://www.jocodental.com","https://www.facebook.com/615142488505350","","0.77","","1","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2026-04-04T00:00:00.000 | 2026-06-11T11:57:15Z"
"KS","Kansas","043fb152-04ab-44a5-80ee-64a6eefac766","Dr. Sam S. Amirani, DDS","-97.2907008298157","37.6660187556884","dentist","","1431 S Bluffview Dr Ste 109","Wichita","67218","KS","US","(316) 686-7155","","https://www.kidfriendlydentist.com","https://www.facebook.com/112981822246284","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","045118fb-5735-4044-bf7c-f9fe40750277","Nordhus Dentistry","-97.47990532","37.69388928","dentist","general_dentistry | cosmetic_dentist","11940 W Central Ave","Wichita","67212-5100","KS","US","+13165318232","smilemore@nordhusdentistry.com","http://www.nordhusdentistry.com/","https://www.facebook.com/120203451363621","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"KS","Kansas","048a4235-fffd-4c3e-9a56-d6cbb2a8d5b7","Great Plains Dental","-97.26783296","37.69655774","dentist","general_dentistry","650 N Carriage Pkwy","Wichita","67208-4507","KS","US","+13169750091","klester@fqminc.com","https://kansasyouthdental.com/","https://www.facebook.com/313369245669787","Kansas Youth Dental","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
