"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"LA","Louisiana","00794e0e-9df8-4ea1-88dc-954fbec6995d","Walter J Vaughan DDS","-91.0399641","30.553280574848","dentist","orthodontist | health_and_medical","13323 Hooper Rd","Baton Rouge","70818-3526","LA","US","+12252618050","","http://www.centralsmileteam.com","https://www.facebook.com/155265461150408","","0.5425372123718262","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"LA","Louisiana","007cddf5-5ac4-4d8f-9c77-cfa19f571121","Elm Street Dental","-93.2802319257363","32.6262949657766","dentist","","909 Elm St","Minden","71055","LA","US","(318) 377-9411","","http://elmstreetdental.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-10-21T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","00b3fae8-55fe-4341-84c8-b8943ae40de1","Dr. Stephen M. Zobrist, DDS - Preventative & Restorative Dentistry","-91.118096","30.434405","dentist","cosmetic_dentist | health_and_medical","6943 Jefferson Hwy","Baton Rouge","70806-8110","LA","US","+12252486777","frontoffice@zobristdental.com","http://zobristdental.com","https://www.facebook.com/405744259527017","","0.870033860206604","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"LA","Louisiana","00cc48e9-f34c-4fce-9554-d85835eb79cc","Louisiana Dental Center - Raceland","-90.55998262","29.69996014","dentist","general_dentistry | health_and_medical","4690 Highway One","Raceland","70394-2623","LA","US","+19855371993","raceland@ladentalcenter.com","https://www.ladentalcenterraceland.com/","https://www.facebook.com/168971499783416","","0.9722161889076233","open","11","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","00fcd64c-6870-4d05-86f3-ce4dc0502b57","Sherwood Dental Care","-91.05122195","30.4036474","dentist","general_dentistry","11700 Haymarket Ave","Baton Rouge","70816-6009","LA","US","+12252632313","sdcollinsjr@gmail.com","http://www.collinsdental.com/","https://www.facebook.com/172085436140288","","0.9902192950248718","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","0124a1b1-8700-4a30-868e-a02755bba1b2","Haven Dental Care","-90.08977099","30.39625613","dentist","general_dentistry","2140 9th St","Mandeville","70471-1820","LA","US","+19856248268","havendentalmandeville@gmail.com","https://patient.portal.archy.com/p/131a3f9f-c2a3-4b40-a141-8eae222c901a/self-booking","https://www.facebook.com/467249766468673","Archy","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","0285454b-57fd-4021-a35c-4b03e7018030","Aesthetic Dentistry Group","-91.124790334135","30.3708754630938","dentist","","8519 Highland Rd","Baton Rouge","70808","LA","US","(225) 766-1765","contactus@brdentistry.com","http://www.brdentistry.com","https://www.facebook.com/602464889790198","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","028f5d0f-3443-4082-b402-fe9ff5c36be6","Just Bright Family Dentistry","-90.025702","29.882726","dentist","medical_service_organizations | naturopathic_holistic","151 Ochsner Blvd Ste B","Gretna","70056","LA","US","+15043944990","","","https://www.facebook.com/234673470624879","","0.6408162713050842","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"LA","Louisiana","029b1d83-d4f9-4f83-b89e-fa6464ce7c14","Tidwell Gregg C DDS","-92.11109274","32.51938634","dentist","general_dentistry | medical_service_organizations","1512 Royal Ave","Monroe","71201","LA","US","+13183875400","","","https://www.facebook.com/159344184096326","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"LA","Louisiana","02c4e76a-57f0-48bb-a551-4dc48c46e01a","Lakeshore Endodontics","-90.464699","30.483245","dentist","endodontist | medical_service_organizations","800 C M Fagan Dr","Hammond","70403-6062","LA","US","+19853452828","","http://www.lakeshoreendodontics.com/","https://www.facebook.com/161448157213782","Lakeshore Endodontics, L.L.C.","0.968107283115387","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
