"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"ME","Maine","02dc724f-04b6-4ce4-8dc5-0b6793b87842","Odimayo Grace DDS","-69.77588306","44.25836096","dentist","general_dentistry | cosmetic_dentist","562 Maine Ave","Farmingdale","04344-2916","ME","US","+12075824503","farmingdale@lagosdental.com","","https://www.facebook.com/1237929529602276","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","02ec0f80-a15a-4355-99d4-b2c3af51941a","Hill Dental Wellness","-70.29894","43.72094","dentist","","2 Blackstrap Rd","Falmouth","04105-2238","ME","US","+12077973130","info@hilldentalwellness.com","https://www.hilldentalwellness.com/","https://www.facebook.com/720630761375469","","0.69025719165802","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"ME","Maine","032aaf0d-69d7-4d2c-8739-51f904945ddf","Snoring Sleep Apnea Solutions","-69.6343408132778","44.5513726797495","dentist","","12 Park St","Waterville","04901","ME","US","(207) 616-0942","","http://www.smiles4me.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-05T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0369a4c8-264b-4d2f-a9db-e2f5cc94a32f","Fort View Dental","-68.80125164","44.57495756","dentist","general_dentistry | medical_service_organizations","154 Main St","Bucksport","04416-4075","ME","US","+12074692912","fortviewdental@gmail.com","http://www.fortviewdental.com/","https://www.facebook.com/182270438634367","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","037a7ebb-040d-48ad-8f30-b6687838217c","KVHC Dental Office","-68.708516","45.655643","dentist","","50 Summer St","Millinocket","04462","ME","US","(207) 723-6565","program.intake@usda.gov","http://kvhc.org","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-07-16T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0449cf9f-7c8a-4e7b-aaf0-06fae30f0327","Carolyn J Morin, DDS, P.A.","-69.7792958776993","44.2624711229727","dentist","","14 Merrill St","Farmingdale","04344","ME","US","(207) 620-1200","morindental@gmail.com","http://www.cmorindental.com","https://www.facebook.com/365768626869461","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z"
"ME","Maine","04b8deac-1055-4e3c-a89b-2e34af061440","Oxford Hills Dental","-70.53685017","44.21197558","dentist","general_dentistry | medical_service_organizations","232 Main St","Norway","04268-5921","ME","US","+12077438002","info@oxfordhillsdental.com","http://www.oxfordhillsdental.com/","https://www.facebook.com/116702281720914","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0611e23c-3d3f-41f6-92aa-d2cbd5fb4ce3","Hancock Dental","-68.41079757","44.5347323","dentist","general_dentistry | health_and_medical","201 High St","Ellsworth","04605-1715","ME","US","+12076678778","office@hancocksmiles.com","http://www.hancocksmiles.com/","https://www.facebook.com/881565448624818","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","067e3d69-7637-463e-95c7-b41b26f0e494","Inverness Dental Arts","-69.65494744","44.54221941","dentist","prosthodontist | general_dentistry","3 Brigham St","Waterville","04901-5114","ME","US","+12073133352","idadenturelove@gmail.com","http://loveyourdenture.com/","https://www.facebook.com/131143843604861","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0704a654-ad17-418a-a0ce-8b70ae502eb8","Caring Hands of Maine Dentistry","-68.409781715694","44.5182748505188","dentist","","72 Beechland Rd","Ellsworth","04605","ME","US","(207) 667-6789","","http://www.caringhandsofmaine.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0853959e-2a91-4e82-a617-8e750e5c9834","Orchardside Dental Hygiene LLC","-70.911394","43.53201","dentist","pediatric_dentist | health_and_medical","1881 Route 109","Acton","04001","ME","US","+12077033339","orchardsidedh@metrocast.net","http://www.orchardsidedh.com","https://www.facebook.com/611747902193488","","0.9395498037338257","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"ME","Maine","0866337e-c279-4d64-8cd8-0dc7b9df8da0","Faulkner Teguis Orthodontics","-70.79573368","43.46505695","dentist","orthodontist | doctor","25 Butler St","Springvale","04083-1405","ME","US","+12073243202","info@braces4maine.com","http://www.braces4maine.com/","https://www.facebook.com/211931082180462","Teguis Orthodontics","0.9722161889076233","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-06-08T13:20:12Z"
"ME","Maine","08d753ba-f029-4293-a40d-8acbd2f8c4be","Gentle Family Dentistry","-69.63895883","44.53006887","dentist","general_dentistry","334 Augusta Rd","Winslow","04901-7167","ME","US","+12078739600","winslow@beautifulsmile.com","https://gfdmaine.com/winslow-office/","https://www.facebook.com/1206083216199644","Gentle Family Dentistry - Winslow","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","08f9e5e6-5a0b-4930-8104-de585b5ba2de","Denture Crafters LLC.","-70.65205538","43.15761674","dentist","general_dentistry | medical_service_organizations","647 US Route 1","York","03909-1651","ME","US","+12073614485","denturecrafters@yahoo.com","http://Denturecraftersllc.com/","https://www.facebook.com/153983658142083","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","0988aa44-3aab-4558-ac2d-6750a3e2cded","Lincoln Dental Associates","-68.52061332","45.36050057","dentist","general_dentistry","168 W Broadway","Lincoln","04457-4003","ME","US","+12077946577","lincolndentalassociates1@gmail.com","","https://www.facebook.com/108688305592764","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"ME","Maine","09b76a71-8054-487d-b769-d53d24d5a4ea","Hammond Street Dental Care","-68.78122074","44.80100943","dentist","general_dentistry | health_and_medical","359 Hammond St","Bangor","04401-4611","ME","US","+12075734477","info@hammondstreetdental.com","http://www.hammondstreetdentalcare.com/","https://www.facebook.com/1633289456985165","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
