"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"MN","Minnesota","0042679c-3c35-469a-8f05-e4544d5a4529","Embrace Lindstrom Orthodontics","-92.8392091381941","45.3899035940776","dentist","","13185 St. Croix Avenue","Lindstrom","55045","MN","US","(651) 257-4445","smiles@embracemn.com","https://www.cambridgeorthomn.com","https://www.facebook.com/164876790221418","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2021-02-23T00:00:00.000 | 2026-06-11T11:57:15Z"
"MN","Minnesota","00612e67-66d7-4052-93a0-45533b6c8494","Park Dental","-93.27504283","44.97619573","dentist","general_dentistry | medical_service_organizations","800 Lasalle Ave","Minneapolis","55402-0076","MN","US","+16123384546","","http://www.parkdental.com/lasalleplaza","https://www.facebook.com/220283701354631","Park Dental","0.9902192950248718","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","00fc5f88-e9b8-4e75-8e80-2c12e4d28732","Crescent Dental","-93.2459978139159","45.0592503342164","dentist","","2611 Innsbruck Dr Ste A","New Brighton","55112","MN","US","(763) 571-4837","contactus@drmichaelwolf.com","https://crescentdentalmn.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-05-29T00:00:00.000 | 2026-06-11T11:57:15Z"
"MN","Minnesota","010cca81-1466-4a09-a002-0ed3d1f012da","Cedar Bend Dental Care","-93.36107998","45.2082282","dentist","cosmetic_dentist | pediatric_dentist","13040 Riverdale Dr NW","Coon Rapids","55448-8406","MN","US","+17633233042","mdccoonrapids@mydentalmail.com","https://cedarbenddentalcare.com/","https://www.facebook.com/133544526695829","Dental Health Society online","0.9994465440511704","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MN","Minnesota","01764f10-c892-4147-8d5a-d2f18a46dbee","Paul S Stone Res","-93.37282523","45.00134998","dentist","health_and_medical | ice_cream_shop","2020 Kelly Dr","Golden Valley","55427-3516","MN","US","+17635445884","","","https://www.facebook.com/669930006475178","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","0182251e-f486-4be9-8278-94ae01a57047","Bloomington Smiles Dentistry","-93.33028441","44.80982564","dentist","general_dentistry | health_and_medical","10700 France Ave S","Bloomington","55431-2074","MN","US","+19526793531","bloomingtonsmilesdentistry@smilegeneration.com","https://www.BloomingtonSmilesDentistry.com/?sc_cid=Facebook%3AO%3AGP%3A879%3ASocial%3AGeneral%3Ana&_vsrefdom=organic_social&y_source=1_MjkyMjcwNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://www.facebook.com/1001079733281879","Smile Generation","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01a47e0e-d989-4d28-9854-2dfefbc09dbe","Glacial Lakes Dental","-95.04661907","45.10586614","dentist","general_dentistry | cosmetic_dentist","509 16th Ave SW","Willmar","56201-4118","MN","US","+13202357742","info@glaciallakesdental.com","https://glaciallakesdental.com","https://www.facebook.com/114305951592223","Glacial Lakes Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01b4424e-3863-42be-946e-2d5a935f6234","Southwest Dental Care","-92.9982346109976","45.2782665425343","dentist","","107 12th St SW Ste 2","Forest Lake","55025","MN","US","(651) 964-2013","","http://southwestdentalcaremn.com","https://www.facebook.com/310523542890816","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2021-02-04T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01c500ea-4a61-4cb1-a968-d51d2842dfe1","St. Paul Pediatric Dentistry","-92.95732387","44.94110835","dentist","pediatric_dentist | hospital","604 Bielenberg Dr","Woodbury","55125-1400","MN","US","+16517974266","info@stpaulkidsdentist.com","https://www.stpaulkidsdentist.com/","https://www.facebook.com/110731136979025","St. Paul Pediatric Dentistry","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01d01d3e-3666-473e-a9db-7c916bdbd946","Oxboro Family Dental","-93.28931705","44.82522439","dentist","general_dentistry | health_and_medical","9848 Lyndale Ave S","Bloomington","55420-4731","MN","US","+19528883161","info@oxborofamilydental.com","http://oxborofamilydental.com/","https://www.facebook.com/168863306642230","","0.9947486519813538","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MN","Minnesota","01e258b7-2976-4586-99c1-e2b0628fddaf","Tyler Family Dental Care","-96.13490148","44.27835681","dentist","general_dentistry","197 N Tyler St","Tyler","56178-1160","MN","US","+15072475591","tylerdentalcare@hotmail.com","http://Tylermnfamilydental.com/","https://www.facebook.com/134450370762636","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01f0bead-bd0e-4a2c-a7a6-d204ff8f99fc","Melinda Sundquist, DDS","-93.449348","45.06868117","dentist","health_and_medical","13340 Bass Lake Rd","Maple Grove","55311","MN","US","7634789219","","https://www.metro-dentalcare.com/about-us/our-dentists/melinda-sundquist-dds/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2019-03-19T15:56:03.893Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","01fa94da-6747-4333-8164-5b4a5876829e","Starr Garrett N DDS","-93.947007192659","44.1892357753316","dentist","","120 N Augusta Ct Ste 108","Mankato","56001","MN","US","(507) 625-7172","gstarr@hickorytech.net","http://drgarrettstarr.com/","https://www.twitter.com/http://twitter.com/#!/DStarrGarrett | https://www.facebook.com/647701732025317","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-09-03T00:00:00.000 | 2026-06-11T11:57:15Z"
"MN","Minnesota","022e6371-4083-429c-98ee-7a7a3b65dcce","Tuyet Nga D. Vuong, DDS","-93.07981433","44.88480483","dentist","health_and_medical","2036 Robert St S","West St Paul","55118","MN","US","6514575762","","https://www.metro-dentalcare.com/about-us/our-dentists/tuyet-nga-d-vuong-dds/","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2019-03-19T16:02:06.560Z | 2026-06-11T11:57:15Z"
"MN","Minnesota","024e1e27-b4a6-4c33-b0ae-58bcf261f120","Affordable Dentures & Implants","-93.08316086","44.8840752","dentist","general_dentistry","2055 S Robert St","West St Paul","55118-3924","MN","US","+16518672666","fda27257@affordabledentures.com","https://www.affordabledentures.com/locations/mn/west-st-paul","https://www.facebook.com/111184230496305","Affordable Dentures & Implants","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MN","Minnesota","025487bc-e6bb-48ad-89e2-60f642d3cbe0","Veneman Dental Care","-93.031764","45.027957","dentist","health_and_medical","1650 Beam Ave Ste 103","Maplewood","55109","MN","US","6517707175","","http://www.venemandentalcare.com/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2011-12-05T10:09:08.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
