"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"MO","Missouri","000e9f3e-6bc7-4046-b979-5acad3030023","Fountainview Dental","-94.3464488","38.652916","dentist","general_dentistry","401 E Mechanic St","Harrisonville","64701-2427","MO","US","+18168872008","harrisonville@fountainviewdental.com","https://fountainviewdental.com/harrisonville","https://www.facebook.com/101430058988270","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","003e203d-9a34-4ce6-bdeb-656d01fedf1a","David Western","-94.59397051","39.00014077","dentist","health_and_medical | hospital","7018 Wornall Rd","Kansas City","64113-2042","MO","US","+18163632664","","","https://www.facebook.com/155574901148121","","0.8208119869232178","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","005ab8bc-6647-4967-ad62-2cd1ae266f42","Jason L Grosch DDS","-90.5403086124924","38.7566343448962","dentist","","2408 Highway 94 South Outer Rd","Saint Charles","63303","MO","US","(636) 928-4888","groschdental@yahoo.com","http://www.groschdental.com","https://www.facebook.com/168870223303840","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2023-04-03T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","0060b648-785f-43d6-9841-4b9a1c3dafd0","Natural Bridge Dental","-90.2386140671608","38.6704367894993","dentist","","4456 Natural Bridge Ave","Saint Louis","63115","MO","US","(314) 383-3434","drernie2001@yahoo.com","http://stlouiscountydentists.com","https://www.facebook.com/126746480685749","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z"
"MO","Missouri","00af032a-861f-49ae-b44e-3f3e51cd9158","Bergman Family Dental","-90.566011","38.607168","dentist","cosmetic_dentist | health_and_medical","964 Kehrs Mill Rd","Ballwin","63011-2402","MO","US","+16363919666","bergmanfamilydental@gmail.com","https://www.bergmanfamilydental.com/","https://www.facebook.com/298827790139741","","0.8292414546012878","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","00c79dae-0001-4d69-b511-f1b1fef9aa34","Jariya Niyakorn","-94.3949654113225","38.9747419652976","dentist","","7900 Lees Summit Rd","Kansas City","64139","MO","US","(816) 404-6885","","http://www.trumed.org","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","0101e3dc-b6e0-4250-910e-67ad51deb113","Suzanne Quigg","-93.22005036","36.67223006","dentist","health_and_medical | physical_therapy","515 Bee Creek Rd","Branson","65616-7734","MO","US","+14173368478","","http://www.417dentist.com/","https://www.facebook.com/121344941257443","Branson Dental","0.8689993619918823","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","010ac146-f926-4b60-95b1-ecda9455928e","Town Center Dental","-90.62586383","38.58134272","dentist","general_dentistry | medical_service_organizations","2426 Taylor Rd","Wildwood","63040-1222","MO","US","+16366894123","contactus@copelanddentalgroup.com","http://www.copelanddentalgroup.com/","https://www.facebook.com/168078303209013","Town Center Dental","0.999748515367508","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","01396aa5-4e48-4b43-948f-dc737fcde9af","DiMaria Dental Lab","-90.64469401","38.66702977","dentist","","700 Spirit of St Louis Blvd","Chesterfield","63005-1018","MO","US","+16365190200","dimariadentallab@gmail.com","https://www.dimariadentallab.com/","https://www.facebook.com/109959867529278","","0.8822423219680786","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","014d29c1-e01b-471a-9435-84de42e48524","Monterubio And Herbosa Oral and Maxillofacial Surgery P.C.","-90.3440744130993","38.6363460164264","dentist","","1034 S Brentwood Blvd Ste 1010","Saint Louis","63117","MO","US","(314) 721-1010","info@mhoms.com","http://oralsurgerystl.com","https://www.facebook.com/213877718630067","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2021-10-13T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","016723c9-eddd-4593-b7ab-e77190d96a8e","SFCC Dental Hygiene Clinic","-93.2700198364807","38.6977057924708","dentist","college_university","3201 W 16th St","Sedalia","65301-2188","MO","US","+16605967309","","http://www.sfccmo.edu/","https://www.facebook.com/1308711939155867","State Fair Community College","0.9747978448867798","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","016c8a35-3794-4a8f-a1d4-f8cad4894173","Motto Clear Aligners","-93.2533311","37.1432753","dentist","health_and_medical","3842 S Glenstone Ave","Springfield","65804","MO","US","4177191678","","https://www.aspendental.com/dentist/mo/springfield/3842-s-glenstone-ave/motto-clear-aligners/","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-10-05T08:00:05.410Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","0193c74f-d5d4-4a4d-93ac-90f4497c1814","Dr. Jeremy Bowen","-94.35250455","39.03774421","dentist","general_dentistry | health_and_medical","19201 E Valley View Pkwy","Independence","64055-6913","MO","US","+18164783600","dentalarts@smilesinkc.com","http://www.dentalartskc.com","https://www.facebook.com/116258198435431","Dental Arts","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","0199ae88-0a92-4ecc-afee-77136ffb5744","Sloop Dental","-94.58592912","39.0134154","dentist","general_dentistry | cosmetic_dentist","6309 Morningside Dr","Kansas City","64113-2308","MO","US","+18165236615","info@sloopdentalco.com","http://sloopdentalco.com/","https://www.facebook.com/1015552855130633","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","01f7cd6d-19a3-47c7-b5bc-3f362623666c","Motto Clear Aligners","-90.3346696","38.62220949","dentist","health_and_medical","1819 S Hanley Rd","Brentwood","63144","MO","US","3148183201","","https://www.aspendental.com/dentist/mo/brentwood/1819-s-hanley-rd/motto-clear-aligners/","","","0.9199122190475464","open","7","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-10-03T21:16:07.897Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","023c5a20-478d-4ffd-8cfb-ec5e64441f3d","Aspen Dental","-90.877437","38.820882","dentist","","1600 Wentzville Pkwy Ste 101","Wentzville","63385","MO","US","","","https://www.aspendental.com/dentist/mo/wentzville/1600-wentzville-pkwy-ste-101/","","Aspen Dental","0.954","","5","AllThePlaces | Overture","CC0-1.0 | CDLA-Permissive-2.0","2026-06-02T15:18:54.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","024507e5-63f8-4367-8438-1ccd7c50f18a","ActOn Dentistry","-90.89181869","38.80593321","dentist","general_dentistry | medical_service_organizations","1871 W Pearce Blvd","Wentzville","63385-3302","MO","US","+16363275600","kathy@actondentistry.com","http://actondentistry.com/contact-dentist/","https://www.facebook.com/257091044414370","ActOn Dentistry","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","025594d4-c6a7-4026-a5a9-ff5de51340e8","Kevin Morgester DMD","-90.5385618911217","38.6144369575991","dentist","","510 Baxter Rd Ste 1","Chesterfield","63017","MO","US","(636) 227-6500","information@morgesterdental.com","http://www.morgesterdental.com","https://www.facebook.com/488495811316606","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2026-02-23T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","02606c82-b21a-491f-9cc1-e129aa4f2ead","Matthew Turner DDS","-94.27344474","39.01843545","dentist","cosmetic_dentist | general_dentistry","709 W Main St","Blue Springs","64015-3705","MO","US","+18162291433","frontdesk@blueriversmileinnovations.com","http://blueriversmileinnovations.com/","https://www.facebook.com/284993491614482","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MO","Missouri","026d8396-a9ed-4512-8905-e7a7b77cabfd","Curtis Lee Row","-90.53893485","38.61437212","dentist","health_and_medical | chinese_restaurant","510 Baxter Rd","Chesterfield","63017-7006","MO","US","+16363911911","rowpucel@yahoo.com","http://www.rowpuceldental.com/","https://www.facebook.com/198271336872610","Row.Pucel.DDS","0.9207389950752258","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MO","Missouri","028c5d2d-696f-4361-9018-8418cf85f006","QVC Shopping US","-94.4357778257274","39.1023691284407","dentist","doctor | health_and_medical","1638 W US Highway 24","Independence","64050-2346","MO","US","+18164616911","support@diepecom.com","https://milyshoestyle.com/slip-on-fashionsss","https://www.facebook.com/1710548165922192","Shopping US","0.8261309266090393","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
