"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"MS","Mississippi","009ebb72-0a71-4838-830f-e2e97d916bc1","Dr. Robert Smith General Dentistry","-89.98935168","34.82345285","dentist","general_dentistry | health_and_medical","7 E Commerce St","Hernando","38632-2215","MS","US","+16624295055","","http://www.hernandosmiles.com/about-us","https://www.facebook.com/129803543759290","Hernando Smiles","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MS","Mississippi","00fc46cf-613a-4c68-b608-217db7c6fc9e","River Hills Family Dentistry","-90.14283399","32.33314002","dentist","general_dentistry","2620 River Hills Dr","Jackson","39216-4865","MS","US","+16019812147","","http://www.johncarterdds.com","https://www.facebook.com/607742622674140","","0.9931998938322067","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MS","Mississippi","0151faec-eeb6-4bf9-ad2d-1bfd9701f54a","Rodney C Richardson DMD","-88.7028634","32.3736195","dentist","doctor | cosmetic_dentist","1609 24th Ave","Meridian","39301-3112","MS","US","+16016936362","24avedentalclinic@gmail.com","http://www.24thavenuedental.com/","https://www.facebook.com/384389295406705","","0.9507684111595154","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MS","Mississippi","017f8e60-f286-437c-b16f-fbc80d17b14e","SmileBuilders, Inc.","-90.2970989","32.2052538","dentist","health_and_medical","6745 S Siwell Rd 210","Byram","39272","MS","US","6013718634","","https://www.smilebuildersinc.com/byram/","","","0.9199122190475464","open","9","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-09-02T12:43:45.283Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MS","Mississippi","019363dc-69de-4446-b001-94c9bc7d9e14","Dr. Gerry Green DMD","-88.745362","34.253328","dentist","health_and_medical | family_practice","144 S Thomas St","Tupelo","38801-5312","MS","US","+16628404422","","","https://www.facebook.com/1603968346596760","","0.6643287539482117","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MS","Mississippi","01e21f2e-f4bb-461c-b234-302ae69422f3","Liberto, Marvin P Dr","-89.0437827116026","30.3853405515502","dentist","","382 Courthouse Rd Ste A","Gulfport","39507","MS","US","(228) 604-2299","","http://progressiveagent.com","https://www.facebook.com/153580221346167","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"MS","Mississippi","02302da9-7238-4ba8-9841-2962c1f19ee9","Hill Dental Clinic","-88.94974757","34.73780274","dentist","health_and_medical | hospital","109 Hospital St","Ripley","38663-1337","MS","US","+16628373044","hilldental@att.net","https://www.sharecare.com/doctor/dr-marion-e-hill","https://www.facebook.com/163183890551642","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MS","Mississippi","0258c278-dc2a-4dcb-b904-4de3b27fadd4","Matthew Lane Fairburn","-90.1238274260123","32.4012654432059","dentist","","865 S Pear Orchard Rd","Ridgeland","39157","MS","US","(601) 956-4007","","http://www.northeastdental.org","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MS","Mississippi","02add326-00e6-402c-aa62-448fdac20d02","The Children's Dental Center","-89.93786826","34.94763521","dentist","pediatric_dentist | periodontist","2925 Nail Rd E","Southaven","38672-6707","MS","US","+16628937337","nmds@secure.southavenpediatricdentistry.com","http://southavenpediatricdentistry.com/","https://www.facebook.com/110912833776344","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MS","Mississippi","02b69f18-a24d-4afa-b343-5263bbfb80fd","Ellisville Family Dental Clinic","-89.200905","31.608096","dentist","health_and_medical | hospital","619 Hill St","Ellisville","39437-2413","MS","US","+16014779400","ellisvilledental@att.net","http://ellisvillefamilydentistry.com","https://www.facebook.com/108603139525787","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
