"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"MT","Montana","0192dfdf-6b19-47e8-b3c5-440030f4abc5","Hays Dental Group","-111.06304218","45.69175263","dentist","endodontist | orthodontist","1226 Stoneridge Dr","Bozeman","59718-7037","MT","US","+14065862117","info@haysdental.com","https://www.haysdental.com/","https://www.facebook.com/122224414522528","The Hays Dental Group","0.9995879198014737","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-06-08T13:20:12Z"
"MT","Montana","01c38dc1-8440-4b48-9bf7-5b36a1f02750","Steve M Mosby D.D.S.","-109.443895091258","47.0585673751711","dentist","","310 Wendell Ave Ste 3","Lewistown","59457","MT","US","(406) 535-2084","info@stevemosbydds.com","http://stevemosbydds.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","02dc781b-97bc-4173-9c03-584a19e11125","Glacier Centre for Dentistry","-114.33307688","48.22569551","dentist","general_dentistry | medical_center","80 Four Mile Dr","Kalispell","59901-2665","MT","US","+14067528212","checkin@lindemanndds.com","https://www.kalispelldentist.com/","https://www.facebook.com/216331995609376","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","034099ae-d99a-49bf-90d9-db3ff2585708","Clark Fork Dental","-114.01270361","46.83489803","dentist","general_dentistry","935 SW Higgins Ave","Missoula","59803-1422","MT","US","+14067212686","clarkforkdental@gmail.com","http://www.clarkforkdental.com/","https://www.facebook.com/161947490337730","John Spierling Dentistry","0.9902192950248718","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","043d2165-226b-4fe1-985e-cf3ed6206bd3","Northwest Center for Dentistry","-114.32613844","48.22091249","dentist","general_dentistry | health_and_medical","430 Windward Way","Kalispell","59901-2618","MT","US","+14067524530","contactus@kalispelldentistry.com","http://www.kalispelldentistry.com/","https://www.facebook.com/226143340851806","Northwest Center for Dentistry","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","050a34b7-adc9-4507-ae0b-78ce120eb7eb","Lilly Family Dentistry","-114.34037283","48.42460065","dentist","general_dentistry | medical_service_organizations","905 Wisconsin Ave","Whitefish","59937-2172","MT","US","+14068628180","","http://www.lillydental.com/","https://www.facebook.com/169435723066857","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","057bc743-3b6a-46dd-8ed3-00d8639d9a97","Montana City Dental","-111.94770264","46.53731913","dentist","health_and_medical | hospital","2 Market St","Clancy","59634-9767","MT","US","+14064435130","montanacitycannabis@gmail.com","http://montanacitydental.com","https://www.facebook.com/130985897514477","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","073b15e7-b48e-43b3-8244-cbda5f604ec8","Anne M Breum. DMD PC","-114.008743","46.852844","dentist","health_and_medical","715 Kensington Ave Ste 6","Missoula","59801","MT","US","4065438591","","","","","0.9199122190475464","open","6","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2012-06-26T10:14:19.217Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","0755bb1f-263f-4e96-9629-883c404c12bc","Billings Dental Clinic at Murdock Family Dentistry","-108.4718301","45.816221","dentist","health_and_medical","926 Main St Ste 1","Billings","59105","MT","US","4062562243","","https://www.billingsmurdockfamilydentistry.com/","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2025-04-20T12:22:23.990Z | 2026-06-11T11:57:15Z"
"MT","Montana","07a192a8-d4f3-4f3a-b935-1302e93dde94","Gentle Dental","-105.63792317","48.0908804","dentist","general_dentistry | medical_service_organizations","","Wolf Point","","MT","US","+14066532890","","","https://www.facebook.com/999992650015246","Gentle Dental","0.8446733355522156","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"MT","Montana","07cc59f3-808e-4835-8888-ba1580dce38f","Diggs Taylor DMD","-113.999221745684","46.8401203312766","dentist","","237 SW Higgins Ave Ste A","Missoula","59803","MT","US","(406) 926-3488","info@taylordiggsdentistry.com","http://www.taylordiggsdentistry.com","https://www.facebook.com/625384560863445","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2023-09-08T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"MT","Montana","0a27298f-6181-4a05-a3cb-5ce3c8627879","Montana Dental Arts","-114.01803079","46.8526833","dentist","general_dentistry | cosmetic_dentist","1920 S Russell St","Missoula","59801-6624","MT","US","+14067286068","office@montanadentalarts.com","http://montanadentalarts.com/","https://www.facebook.com/280136108754495","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
