"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"NC","North Carolina","000915f6-6630-4b56-92fc-0df05ec23263","Christopher Kanayo Anene","-80.95081387","35.15179709","dentist","doctor | health_and_medical","3607 Whitehall Park Dr","Charlotte","28273-3587","NC","US","+17048316344","","http://www.dranene.com/","https://www.facebook.com/184116892028542","Christopher Anene D.M.D","0.9271871447563171","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NC","North Carolina","000f2a70-ad84-4936-be71-eb296aa0a38f","Saunders Adam DDS PA","-77.8428533183768","35.9790274427395","dentist","","901 N Winstead Ave","Rocky-Mount","27804","NC","US","(252) 210-4779","drsaundersdental@yahoo.com","http://www.drsaundersdental.com","https://www.facebook.com/167780233238665","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2020-12-09T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NC","North Carolina","002f5b26-10be-4205-9187-c805ea43e01b","Dr. Mark E. McGee","-77.79559668","34.29349211","dentist","general_dentistry | medical_service_organizations","8048 Market St","Wilmington","28411-9384","NC","US","+19106866578","","http://www.drmarkmcgee.com/","https://www.facebook.com/133264606724805","","0.9424554109573364","","3","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NC","North Carolina","0034f52f-1174-4117-9792-33813a3b98ad","Friendly Dental","-80.8526117","35.34671776","dentist","orthodontist","10125 Perimeter Pkwy","Charlotte","28216-2474","NC","US","+17045998766","","","https://www.facebook.com/1616648301686606","","0.8496931791305542","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NC","North Carolina","00ab95e0-ab62-42f0-b41e-d1bbed6dfa40","Cape Fear Penodontics And Dental Implants","-77.824475","34.265976","dentist","health_and_medical | family_practice","7010 Market St","Wilmington","28411-9728","NC","US","+19106864676","sgould@capefearperio.com","https://www.capefearperio.com","https://www.facebook.com/125533467501468","Cape Fear Periodontics and Dental Implants","0.9401572942733765","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NC","North Carolina","00b45d08-1bc4-4ed1-9933-3be799636ead","Beaver Creek Commons Dental","-78.87729133","35.74675664","dentist","orthodontist | health_and_medical","1200 Beaver Creek Commons Dr","Apex","27502-3921","NC","US","+19842657497","beavercreek@mydentalmail.com","https://beavercreekcommonsdental.com/","https://www.facebook.com/103505672136683","Dental Health Society online","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NC","North Carolina","0135057f-9dfd-4a97-a8e4-3a8c341370d4","Legacy Landing Dentistry","-80.06596851","35.89623492","dentist","general_dentistry | doctor","508 Turner St","Thomasville","27360-2646","NC","US","+13364751614","legacylandingdentistry@mydentalmail.com","http://www.drpamelajohnsondarr.com/","https://www.facebook.com/168778013846","Legacy Landing Dentistry","0.9856158494949341","open","2","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z"
"NC","North Carolina","015bc208-6ead-4546-af23-1f605aa523e3","Highland Creek Modern Dentistry","-80.8985888957977","35.4230756511595","dentist","","4605 Hylas Ln","Huntersville","28078","NC","US","(704) 269-6522","","https://www.highlandcreekdentist.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2024-10-15T00:00:00.000 | 2026-06-11T11:57:15Z"
"NC","North Carolina","018d9794-ab3a-425c-a3dd-a0d4f1fc21c1","Winston-Salem Dental Specialists","-80.312499","36.0687745","dentist","doctor | health_and_medical","1590 Westbrook Plaza Dr Ste 202","Winston-Salem","27103","NC","US","3367743001","","https://winstonsalemdentalspecialists.com/","","","0.85","","9","Microsoft | Overture","CDLA-Permissive-2.0","2025-08-22T16:26:03.113Z | 2026-06-11T11:57:15Z"
"NC","North Carolina","01a6efc7-70b1-4495-9495-b809a2db33cf","Vinson Orthodontics","-78.337027","35.514289","dentist","orthodontist | medical_service_organizations","706 Wilkins St","Smithfield","27577-4662","NC","US","+19199341155","","http://www.vinsonorthodontics.com","https://www.facebook.com/113202638756646","","0.7452874779701233","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
