"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"NH","New Hampshire","001a74cc-7697-4ab9-968b-a411329ee4ed","Kuepper Robt C DDS","-71.48599304","43.178827418","dentist","oral_surgeon | health_and_medical","5 Sheep Davis Rd","Pembroke","03275-3702","NH","US","+16032247831","","https://drkuepper.com","https://www.facebook.com/148109678567351","","0.7836194634437561","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NH","New Hampshire","0043db3a-f6cd-45e8-8496-12ac9e13473e","Queen City Dental","-71.44907027","42.97958982","dentist","general_dentistry | medical_service_organizations","60 Rogers St","Manchester","03103-5070","NH","US","+16036693680","","http://www.queencitydental.com/","https://www.facebook.com/157080534332592","Queen City Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NH","New Hampshire","0120bb86-f69c-4ad7-a44c-4f60d11e8ad4","Plaistow Dental","-71.09614691","42.83995779","dentist","general_dentistry","157 Main St","Plaistow","03865-3020","NH","US","+16033827100","patientcare@plaistowdental.com","http://www.plaistowdental.com/","https://www.facebook.com/270252482049","Plaistow Dental","0.9860885739326477","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NH","New Hampshire","01cd6392-6522-40ba-b53f-1da0b89a4ab6","Beyond Dentistry of Nashua","-71.45411032","42.75459367","dentist","cosmetic_dentist | orthodontist","76 Allds St","Nashua","03060-4703","NH","US","+16038823001","accounts@beyondjustsmiles.com","https://dentistinnashuanh.com/","https://www.facebook.com/205321806154719","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NH","New Hampshire","01dcdef8-758a-44c7-8cf3-aef1aacfff5e","Perfect Dental - Manchester","-71.47654986","42.97434292","dentist","general_dentistry","581 2nd St","Manchester","03102-5200","NH","US","+16039322377","manchester@myperfectdental.com","https://www.perfectdental.com/locations/perfect-dental-manchester-nh/","https://www.facebook.com/471196446418656","Perfect Dental","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NH","New Hampshire","036548d0-5f49-41ff-8a59-f74b33563b06","Franklyn Liberatore DMD PLLC","-71.4657513300725","42.7634030585211","dentist","doctor | orthodontist","60 Main St","Nashua","03060-2720","NH","US","+16038862700","office@drfrancodmd.com","http://www.drfrancodmd.com/","https://www.facebook.com/767236920304549","","0.8307302594184875","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NH","New Hampshire","06518ac1-7ef9-4041-9ea6-0bafb413d1dd","John C. Hoell D.D.S.","-70.8995623037415","43.247035968569","dentist","","1 Greenfield Dr","Somersworth","03878","NH","US","(603) 742-0260","dr_hoell@hotmail.com","http://drhoell.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NH","New Hampshire","06d0f302-dcc3-4385-9a5e-867adacec971","Our Town Dental","-71.9525597","42.86914116","dentist","general_dentistry","106 Grove St","Peterborough","03458-1760","NH","US","+16035674955","info@ourtowndentist.com","http://www.ourtowndentist.com/","https://www.facebook.com/100985782425915","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NH","New Hampshire","076f393c-d100-4b43-a3e8-5b2bb4121b03","Derry Family Dentistry","-71.323502","42.881561","dentist","health_and_medical | medical_service_organizations","4 Birch St","Derry","03038-2136","NH","US","+16034344090","info@derrynhfamilydentistry.com","https://www.derryfamilydentistry.com/","https://www.facebook.com/515961341772052","","0.9302265048027039","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z"
"NH","New Hampshire","08630cf1-da64-4a66-a3ca-c725501b52e1","Fishbein James S DDS","-70.78458912","43.03368327","dentist","general_dentistry | doctor","2456 Lafayette Rd","Portsmouth","03801-5624","NH","US","+16034369908","drjfishbein@comcast.net","http://drjamesfishbein.com/","https://www.facebook.com/1699760710320132","","0.9200955629348755","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NH","New Hampshire","0937c2a0-2bbe-4484-8f93-f492e6c57cf5","Lang's Dental Center","-71.46582613","42.76334655","dentist","general_dentistry | health_and_medical","60 Main St","Nashua","03060-2720","NH","US","+16038890900","","http://www.langsdentalcenter.com","https://www.facebook.com/126119890774523","Lang's Dental Center","0.9722161889076233","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NH","New Hampshire","0a15d4fa-99f4-49b4-9b7f-c527c8366e27","Cosmetic Dental Clinic","-72.26732","43.6437","dentist","health_and_medical | oral_surgeon","el khoury hanna street","Lebanon","","NH","US","+96170104300","christelle_antoun@hotmail.com","http://www.cosmeticdentalclinic-lb.com/","https://www.facebook.com/441283189241583","","0.8981307744979858","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
