"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"NM","New Mexico","0019b711-5f55-47b8-9670-a06592c8cd9d","Dental Associates PA","-106.7547241","32.28912836","dentist","general_dentistry | medical_service_organizations","2205 S Solano Dr","Las Cruces","88001-5503","NM","US","+15755227320","leah@sinuatemedia.com","https://da-lc.com/","https://www.facebook.com/598727273532445","Dental Associates of CT","0.9996820332407952","","11","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NM","New Mexico","01415dcc-cf91-4b7b-8781-c952464d0ccf","Cuba School Based Health Center","-106.94592743724","36.0281117950881","dentist","","50 County Rd 13","Cuba","87013","NM","US","(575) 289-2082","","https://www.pmsnm.org/locations/cuba-school-based-health-center","","","0.77","","7","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-05-23T00:00:00.000 | 2026-06-11T11:57:15Z"
"NM","New Mexico","01f43206-2d55-4552-96c7-dd7215d9a7bd","Nylund Justin DDS","-105.578284","36.368139","dentist","doctor | health_and_medical","1392 Weimer Rd","Taos","87571","NM","US","5757588654","","","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2013-05-09T17:21:29.543Z | 2026-06-11T11:57:15Z"
"NM","New Mexico","0284f24b-fff0-45a0-9df1-d31d73a6de9f","Kellie Ann Harris","-105.591103388637","36.3717052888327","dentist","","1337 Gusdorf Rd Ste A","Taos","87571","NM","US","(575) 751-9661","","http://www.kellieharrisdds.com","https://www.facebook.com/167009379977578","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-09-10T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NM","New Mexico","02ba3c9d-f5f4-47e7-9f77-02e6a4b0f7d7","The Oral Surgery Center of Albuquerque","-106.553033","35.172386","dentist","oral_surgeon","8310 Palomas Ave NE","Albuquerque","87109-5286","NM","US","","oralsurgeryabq@gmail.com","https://www.albuquerqueoralsurgery.com/","https://www.facebook.com/252804226620906","","0.8929370641708374","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z"
"NM","New Mexico","03c9a3cf-7ba8-4e1c-9a2f-e6bdee944988","Bear Canyon Periodontics","-106.526992880556","35.1312864720043","dentist","","10151 Montgomery Blvd NE Ste 3C","Albuquerque","87111","NM","US","(505) 275-1662","","http://www.bearcanyonperio.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NM","New Mexico","055207af-8991-4306-89c5-e939515dbbe7","One Family Dental & Orthodontics","-106.55252883","35.17469777","dentist","general_dentistry | orthodontist","8300 Carmel Ave NE","Albuquerque","87122-3125","NM","US","+15054458210","onefamilydental2@gmail.com","https://www.rainbowdentalabq.com/","https://www.facebook.com/275213052349581","","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NM","New Mexico","060f4d4d-5bd9-430f-8faf-af793b3a5ab4","Familia Dental","-106.7723115","32.30046324","dentist","general_dentistry","1160 El Paseo Rd","Las Cruces","88001-6040","NM","US","+15756523084","","https://www.familiadental.com/","https://www.facebook.com/989437127796468","Familia Dental","0.9722161889076233","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NM","New Mexico","067c7511-df9c-4d43-8bd4-2309393cd66a","Encino Dental Care","-106.632007685425","35.0887300379074","dentist","","717 Encino Pl NE Ste 7","Albuquerque","87102","NM","US","(505) 843-9636","","http://www.encinodentalcare.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-06-26T00:00:00.000 | 2026-06-11T11:57:15Z"
"NM","New Mexico","09423646-8cd1-4ea0-bff5-07190e2dde82","Eastern New Mexico Endodontics","-103.231142634826","34.4209897692938","dentist","","2000 W 21st St Suite L1","Clovis","88101","NM","US","(575) 762-8000","","https://www.enmendo.com","https://www.facebook.com/1897629710475299","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2021-02-05T00:00:00.000 | 2026-06-11T11:57:15Z"
"NM","New Mexico","094779bd-4579-423a-b93f-f89511994dec","Deep Blue Dental","-104.676158402398","34.9392589287992","dentist","","1000 Blue Hole Rd Apt 1","Santa Rosa","88435","NM","US","(575) 472-0029","","https://deep-blue-dental.hub.biz","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z"
"NM","New Mexico","096b5e6c-b629-491a-b6f2-03630ee1e7bc","Shadow Mountain Dental","-106.57222651","35.12970997","dentist","general_dentistry | health_and_medical","6800 Montgomery Blvd NE","Albuquerque","87109-1405","NM","US","+15058818441","info@shadowmtndentalabq.com","http://www.shadowmtndentalabq.com/","https://www.facebook.com/2001635240110084","","0.9859117269515991","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"NM","New Mexico","0a62f294-6b96-43cc-9792-0ad9303327ca","Parks Douglas D D S Dntst","-107.9971409","36.817839016667","dentist","periodontist | health_and_medical","501 S Main Ave","Aztec","87410-2247","NM","US","+15053346116","dougbren@msn.com","http://www.aztecsmiles.com/","https://www.facebook.com/160914747272097","Smilemaker Dental","0.5047595500946045","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
