"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"NV","Nevada","00251836-c297-4106-b2f4-3857a6601634","Family Dentistry","-115.24389901","36.04364357","dentist","general_dentistry | health_and_medical","7965 S Rainbow Blvd","Las Vegas","89139-6542","NV","US","+17028716180","","","https://www.facebook.com/102712233160389","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","0034c3fc-f33e-4159-b41c-9bfe6e6d6056","Michael P. Banks DDS","-115.14372189","36.15951641","dentist","general_dentistry | health_and_medical","811 S 7th St","Las Vegas","89101-6909","NV","US","+17024770844","","http://www.mpbanksdds.com/","https://www.facebook.com/151846774856929","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","0095e0a8-11dd-4709-9546-46dea5441924","Keating Dental","-115.12128145","35.99606866","dentist","general_dentistry | medical_service_organizations","880 Seven Hills Dr","Henderson","89052-4371","NV","US","+17024548855","","https://www.keatingdds.com","https://www.facebook.com/117533414973003","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","00e9e7c4-47ec-41f2-a7b9-a2f33274fa92","Herrera Family Dental","-115.07996885","36.15741089","dentist","general_dentistry","1300 S Lamb Blvd","Las Vegas","89104-5539","NV","US","+17027807660","herrerafamilydental@gmail.com","http://HerreraFamilyDental.com/","https://www.facebook.com/222211231859830","","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","019f8d4e-c9ed-48ad-84ae-679aae3b831b","North Vegas Dental","-115.16537818","36.2378872","dentist","general_dentistry | health_and_medical","1631 W Craig Rd","North Las Vegas","89032-0201","NV","US","+17026496644","northvegasdentalnv@gmail.com","https://onesmileatatime.net/","https://www.facebook.com/104043185821157","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","01c7e61a-938f-475c-847f-8a40b6e1d3fe","Dwight Meierhenry","-115.144884611454","36.1448440756019","dentist","","738 E Sahara Ave","Las Vegas","89104","NV","US","(702) 735-1115","drmeierhenry@yahoo.com","http://www.dwmdds.com","https://www.facebook.com/146374348714428","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-03-05T00:00:00.000 | 2026-06-11T11:57:15Z"
"NV","Nevada","0242b975-fce5-4626-9dd6-1d1099a7fc5a","Montecito Dental","-115.28649788","36.29146652","dentist","general_dentistry | doctor","7150 N Durango Dr","Las Vegas","89149-4469","NV","US","+17022544278","info@montecitodental-lasvegas.com","http://www.montecitodental-lasvegas.com/","https://www.facebook.com/1744795685775328","Montecito Dental- Dr. Heddamarie UT  Hart","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","029e6c63-0877-4e61-a031-59d80ca30a7a","Absolute Dental - West Craig","-115.249412671164","36.2400412","dentist","health_and_medical","7101 W Craig Rd, Suite 102","Las Vegas","89129","NV","US","7026258031","","https://www.absolutedental.com/locations/nevada/las-vegas/7101-w-craig-rd/","","","0.9199122190475464","open","8","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-10-02T17:24:01.203Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","02b5f9c9-3df7-494f-9318-a74c26806ad2","Absolute Dental - West Charleston","-115.200306","36.1574148","dentist","health_and_medical","4469 W Charleston Blvd","Las Vegas","89102","NV","US","7028487880","","https://www.absolutedental.com/locations/nevada/las-vegas/4469-w-charleston-blvd/","","","0.9199122190475464","open","8","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2025-03-12T09:03:12.717Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"NV","Nevada","032d7733-ee99-419a-9b9f-27c3c13f5408","Dr. Neil Hulbert, D.D.S.","-119.799191462501","39.4885506598724","dentist","","3773 Baker Ln #1","Reno","89509","NV","US","(775) 826-3444","","http://nevadadds.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
