"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"OH","Ohio","0001fbf0-f117-421e-b3e6-a634f99f7e57","Dayton Comprehensive Dentistry","-84.2256860759543","39.5798468759233","dentist","","18 Remick Blvd","Springboro","45066","OH","US","(937) 350-5379","","https://www.dayton-dentistry.com/contact/springboro-oh-office/","https://www.facebook.com/1566490603636794","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2026-04-08T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","00308071-e4e8-4070-9ff9-f155095eb546","Sean B. Abidin, DDS","-82.94406602","40.13818552","dentist","general_dentistry | health_and_medical","450 Alkyre Run Dr","Westerville","43082-6076","OH","US","+16148829828","info@abidincaodds.com","https://www.abidincaodds.com/","https://www.facebook.com/343655184936","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","007cb42f-ed62-401e-8c9c-c4834bf5bd0d","Lawrence C. Chen, DDS","-80.74083466","41.21054504","dentist","general_dentistry | health_and_medical","2400 Niles Cortland Rd SE","Warren","44484-3869","OH","US","+13305440044","","http://www.larrychendds.com/","https://www.facebook.com/1312145785533494","","0.9995040511488914","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OH","Ohio","00a2d1e7-88c7-4b95-b0c9-f177c6a4b39c","Academy Of Dentistry International","-84.7481859046947","41.3093904516657","dentist","","3813 Gordon Creek Dr","Hicksville","43526","OH","US","(419) 542-0101","rramus@bright.net","http://www.adint.org","https://www.facebook.com/120536177958085","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","00b7f993-a390-4ac2-bdca-c051d48a84bb","Vincent P Williams DDS, Inc.","-84.5132845808036","39.1007846147749","dentist","","441 Vine St Ste 1021","Cincinnati","45202","OH","US","(513) 241-6938","vincentwilliamsdds@gmail.com","https://www.vpwilliamsdds.com","https://www.facebook.com/1112151008841045","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2022-09-15T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","00d65c70-2d38-475d-8e93-efca57d7d0d9","Abbe Road Dental Arts","-82.077948","41.389975","dentist","health_and_medical | pediatric_dentist","550 Abbe Rd N","Elyria","44035-3709","OH","US","+14403650230","","https://mcneeleyandshubafamilydental.com/","https://www.facebook.com/113999124116898","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","00def1f2-46eb-4cd6-bd9f-612ff0389fd7","Rebecca Robbins","-81.4392852783203","41.5273475646973","dentist","","1220 Som Center Rd, Mayfield Heights, OH 44124","Mayfield Heights","44124","OH","US","(440) 442-5437","frontdesk@drrobbinspedo.com","http://www.drrobbinspedo.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-11-25T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","00e06858-2978-4a57-bf95-a8735cabbf72","Dr. Cynthia J. Mikula, DDS","-81.921745289561","41.4857633744073","dentist","","572 Dover Center Rd","Bay Village","44140","OH","US","(440) 871-7170","","https://mikuladds.com","https://www.twitter.com/mikuladds | https://www.facebook.com/104339669247868","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2024-04-10T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","00e5bc95-70eb-40be-9ba0-57e59fbea5f3","Dental Assisting ROCKS","-83.038925","40.23151","dentist","school | health_and_medical","4565 Columbus Pike","Delaware","43015-8969","OH","US","+17405480710","","","https://www.facebook.com/262558537266099","","0.6429051160812378","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OH","Ohio","00eec2eb-6122-4ee6-80e5-fa215236ea18","Orthodontic Specialists","-84.2617","39.095","dentist","","4440 Glen Este-Withamsville Road, Suite 1400","Cincinnati","45245","OH","US","(513) 772-6500","","https://orthodonticspecialists.expert","https://www.twitter.com/orthospecialsts","","0.77","","9","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","00fac579-e2c8-4e9e-85d2-01e1526bfdaf","Marshall Warren, DDS","-83.6282190367618","41.6833152601322","dentist","","3425 Executive Pkwy","Toledo","43606","OH","US","(419) 537-6726","wsmarshalldds@aol.com","http://warrenmarshalldds.com","https://www.facebook.com/161918893863535","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-05-30T00:00:00.000 | 2026-06-11T11:57:15Z"
"OH","Ohio","010f3d43-4166-44ac-a66b-7d1b7f2b7642","Namay Dentistry","-83.68021833","41.5705093","dentist","general_dentistry | medical_service_organizations","959 Illinois Ave","Maumee","43537-1743","OH","US","+14198910527","","http://www.wholehealthdentistry.com","https://www.facebook.com/201779780340176","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","012f3966-2a3e-47bd-9d1d-84b743dc98b5","Heritage Dental","-83.16081804","40.03429904","dentist","general_dentistry | cosmetic_dentist","4060 Wayne St","Hilliard","43026-1478","OH","US","+16145294378","office@heritagedentalohio.com","https://www.heritagedentalohio.com/","https://www.facebook.com/104557705261610","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","013db353-10be-4045-9aa0-578e64a8e11a","John Pyke Dentistry","-82.04665478","41.49291898","dentist","general_dentistry","33399 Walker Rd","Avon Lake","44012-1481","OH","US","+14409332549","avonlakedental@yahoo.com","http://www.avonlakedental.com/","https://www.facebook.com/171120762929339","John Pyke Dentistry","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","01581efa-9bc8-4e47-9ec4-256c600b5c2e","Malcolm Walters Jr DDS LLC Dental Spa","-81.536012","41.465422","dentist","cosmetic_dentist | periodontist","3461 Warrensville Center Rd","Shaker Heights","44122-5227","OH","US","+12163821102","homeoftheperfectsmile@gmail.com","http://www.homeoftheperfectsmile.com/","https://www.facebook.com/147349785317313","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OH","Ohio","0159d378-5bef-435b-8192-8ca442a16248","Shawnee State University Student Dental Clinic","-82.99570658","38.73020777","dentist","general_dentistry | college_university","850 Front St","Portsmouth","45662","OH","US","+17403513241","","","https://www.facebook.com/188609207832745","","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
