"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"OR","Oregon","00424dd2-b8fa-411c-9ce3-35d1a5563311","Doug Chadwick","-124.04771106","44.63519604","dentist","general_dentistry | doctor","123 SE Douglas St","Newport","97365-4426","OR","US","+15412654221","info@dougchadwickdds.com","https://www.dougchadwickdds.com/","https://www.facebook.com/695292757180657","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","004633a9-6d15-4509-98b4-db18d8b7347a","Premier Care Dental","-123.3375697","42.41706012","dentist","general_dentistry | medical_service_organizations","1873 Williams Hwy","Grants Pass","97527-5843","OR","US","+15415075330","grantspass@pcdcenters.com","https://premiercaredental.com/grants-pass/","https://www.facebook.com/242051926363301","Premier Care Dental","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","00788bee-8e1b-47ca-ac04-a0a5ae9593ff","SmileKeepers Lincoln City","-123.997365898191","44.9857867078944","dentist","","2825 NE West Devils Lake Rd","Lincoln City","97367","OR","US","(541) 210-8217","lincolncity@interdent.com","https://www.interdent.com/smilekeepers/locations/or/lincoln-city/2825-ne-west-devils-lake-road-dentist-office/","https://www.facebook.com/253971224776219","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","00a2d959-d002-4b2b-8973-0834bd129289","C Street Dental","-123.32368133","42.4417284","dentist","general_dentistry","505 NE 7th St","Grants Pass","97526-2131","OR","US","+15412375575","info@cstreetdental.com","http://www.cstreetdental.com/","https://www.facebook.com/544997048705057","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","00a56d2f-d2f7-406d-b783-e65fbf77e3a3","Multnomah County Dental Health","-122.66194555","45.56172263","dentist","public_service_and_government | health_and_medical","5329 NE Martin Luther King Jr Blvd","Portland","97211-3237","OR","US","+15039883664","webmaster@multco.us","http://www.mchealth.org","https://www.facebook.com/121436437914271","Медицински център 'Хелт'","0.970931351184845","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OR","Oregon","00bf1f1c-143b-4d15-8e0f-26dee3d33763","Premier Care Dental","-122.66793782","42.18457108","dentist","general_dentistry | health_and_medical","590 Washington St","Ashland","97520-1682","OR","US","+15417080600","ashland@pcdcenters.com","https://premiercaredental.com/ashland","https://www.facebook.com/385254881991064","Premier Care Dental","0.9928770661354065","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OR","Oregon","00e3a098-64be-47a0-a51a-748a195ea3b2","Dundee Family Dentistry","-123.01067895","45.27870331","dentist","general_dentistry","120 SW 7th St","Dundee","97115-9535","OR","US","+15035388860","info@dundeedentistry.com","https://www.dundeedentistry.com/","https://www.facebook.com/136244863112169","","0.999007734656334","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OR","Oregon","00f63e96-e257-438d-90a6-6db860d50f0b","Healthy Smiles of Scappoose","-122.87496652","45.75757069","dentist","general_dentistry","33640 E Columbia Ave","Scappoose","97056-3425","OR","US","+15035434949","appointments@healthysmilesofscappoose.com","http://healthysmilesofscappoose.com/","https://www.facebook.com/179200768769244","","0.9997339830696583","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"OR","Oregon","014e2410-3277-4a0e-b6b9-744fdd1fedd5","Milton Freewater Denture Service","-118.386821","45.957084","dentist","health_and_medical","84113 Highway 11","Milton Freewater","97862","OR","US","5419387644","","https://www.miltonfreewaterdentureservice.com/","","","0.9199122190475464","open","9","Microsoft | Overture | Overture-signals","CDLA-Permissive-2.0","2020-02-24T22:45:22.783Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","017c75e0-33b1-4d08-aa0e-d463751c114a","NW Heights Dental","-122.807373151443","45.5265469936441","dentist","","975 NW Saltzman Rd","Portland","97229","OR","US","(503) 646-1463","","https://www.nwheightsdental.com","https://www.facebook.com/1498667757013306","","0.9199122190475464","open","5","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2020-10-06T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"OR","Oregon","01be746b-6f92-4b41-87a2-51da4baa9c41","Hemelstrand Family Dental Care","-122.43225771","45.49896015","dentist","general_dentistry | medical_service_organizations","60 NW 2nd St","Gresham","97030-7222","OR","US","+15036653116","drhemelstrand@gmail.com","http://drhemelstrand.com/","https://www.facebook.com/293543487463818","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
