"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"PA","Pennsylvania","00062b7c-66f7-4b81-a12d-586f989c8c50","Northeast Dental Laboratory","-75.07263187","40.04403767","dentist","car_rental_agency | restaurant","6741 Castor Ave","Philadelphia","19149-2104","PA","US","+12157250950","","http://www.aaaaabledentures.com","https://www.facebook.com/500671800042892","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","004817e3-6696-404f-8062-8254cd609b79","Tyma Bullock & Blessington Dental","-75.14229394","40.31994638","dentist","general_dentistry | health_and_medical","708 N Shady Retreat Rd","Doylestown","18901-2503","PA","US","+12156076699","office@tymatrachtenbergdental.com","https://www.tymatrachtenbergdental.com/","https://www.facebook.com/338829686189547","Tyma Bullock Blessington Dental","0.9760369062423706","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"PA","Pennsylvania","0054339b-2cb6-471e-b32b-70b998172993","Dr. Steinberg","-75.373207998858","40.6781123534796","dentist","","2299 Brodhead Rd","Bethlehem","18020","PA","US","(610) 866-0172","","http://www.demandforced3.com/dentist/106036","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-06-27T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","005c34d4-a620-49a4-81e2-6d8394e6c713","Breskiewicz Family Dentistry","-76.5861027400461","40.846395318157","dentist","","110 Miles Rd","Paxinos","17860","PA","US","(570) 509-2703","","http://breskiewiczfamilydentistry.placeweb.site","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"PA","Pennsylvania","00803566-1543-4470-9b92-15bd590a4069","Ochs Mark DDS","-79.96257409","40.44248097","dentist","general_dentistry | health_and_medical","3501 Terrace St","Pittsburgh","15213-2523","PA","US","+14126486807","","","https://www.facebook.com/121328477925586","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","00a5b854-5812-4316-bd54-3210c4be6dd3","Eric Rackley, DMD","-80.066232","40.433528","dentist","doctor | medical_service_organizations","101 Bradford Ave","Crafton","15205-3140","PA","US","+14129211713","","http://www.ericrackleydmd.com/","https://www.facebook.com/362485697202497","","0.8750378489494324","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"PA","Pennsylvania","00ac1e95-9524-41ef-916a-dedeb85224d6","campus dental center","-75.3624554751451","39.8669012286792","dentist","","2200 Providence Ave","Chester","19013","PA","US","(610) 872-2355","","http://www.campusdentalcenter.com","https://www.facebook.com/121701701219791","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","00c163f4-1c13-42ea-a6c7-5ccb4024a22c","Martik Family Dental LLC","-80.0354887","40.39652883","dentist","general_dentistry | medical_service_organizations","1503 Potomac Ave","Pittsburgh","15216-2109","PA","US","+14125631611","martikfamilydental@gmail.com","http://www.martikfamilydental.com/","https://www.facebook.com/291614627694901","Martik Family Dental LLC","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","00d11c0d-9a8f-43c8-85cd-bf3d16b4a47a","Complete Care Dental","-75.3448787076514","39.8774232936462","dentist","","1300 Macdade Blvd Unit 5","Woodlyn","19094","PA","US","(610) 833-1919","completecaredental@ymail.com","http://delcodentistccd.com","https://www.twitter.com/ccdentalpa | https://www.facebook.com/791561090894362","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"PA","Pennsylvania","0100e93f-1be6-422a-9a7e-07e869a7fa7f","Johnson Jean D DDS","-76.425269","41.02328112","dentist","general_dentistry | cosmetic_dentist","2201 5th Street Hollow Rd","Bloomsburg","17815-7757","PA","US","+15707598961","","http://drjeansmiles.com/","https://www.facebook.com/2002274393382224","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"PA","Pennsylvania","013d117c-a2e5-4263-9758-1c60774a0295","Aspen Dental","-74.961356","40.136737","dentist","","670 Rockhill Drive","Bensalem","19020","PA","US","","","https://www.aspendental.com/dentist/pa/bensalem/670-rockhill-drive/","","Aspen Dental","0.954","","5","AllThePlaces | Overture","CC0-1.0 | CDLA-Permissive-2.0","2026-06-02T15:18:54.000Z | 2026-06-11T11:57:15Z"
"PA","Pennsylvania","015104a4-0682-47f6-b5ae-2b6153951151","Thomas P Nordone DMD","-75.162415119389","39.956440934249","dentist","","207 N Broad St Fl 1","Philadelphia","19107","PA","US","(215) 557-0557","","http://paoms.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-04-29T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
