"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"RI","Rhode Island","02f1d3a9-f63f-4c61-8678-d37621e57433","Warwick Family Dental Group","-71.464039","41.713883","dentist","endodontist | doctor","819 Greenwich Ave","Warwick","02886-1815","RI","US","+14017398337","info@warwickdentalgroup.com","https://alphadentalcenter.com/warwick-family-dental-group/","https://www.facebook.com/119411244864237","Doctor Neena Alpha Dental centre","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","03a9e8db-f86c-4afd-b432-eb6c453b5ee0","Gooding Dental Health","-71.40788808","41.73739904","dentist","general_dentistry","1422 Warwick Ave","Warwick","02888-5026","RI","US","+14014638170","mgooding1422@gmail.com","http://goodingdentalhealth.com","https://www.facebook.com/1714676965467240","","0.9894272685050964","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"RI","Rhode Island","05ce6d16-4eac-4dc6-bb6a-f9f689c645f5","Lawson W Gunn, DDS","-71.439934","41.455082","dentist","doctor","483 Boston Neck Rd","Narragansett","02882-3104","RI","US","+14017895511","gunndds@gmail.com","http://www.lawsonwgunndds.com/","https://www.facebook.com/649544651731471","","0.5955065488815308","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"RI","Rhode Island","05ea1c71-e3d1-4269-b4d5-d53d616d077e","Marigold Dental Studio","-71.391652","41.85815656","dentist","general_dentistry | health_and_medical","727 East Ave","Pawtucket","02860-6184","RI","US","+14012663613","","http://www.Marigolddentalstudio.com/","https://www.facebook.com/100581169419436","","0.9902192950248718","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","0611002f-55b0-4f24-b679-419d1bab14dd","Zumstein Family Dentistry","-71.3935836028445","41.8261423259225","dentist","","159 Governor St","Providence","02906","RI","US","(401) 274-1140","","http://www.drzumstein.com","https://www.facebook.com/302793653264487","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-05T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","07ccd1cd-7a70-46e3-8c5b-c1bb95eedb15","Dr. Jeffrey E. Dodge","-71.51440442","41.98348819","dentist","general_dentistry | health_and_medical","1438 Park Ave","Woonsocket","02895-6557","RI","US","+14017694992","drjedodge@earthlink.net","http://www.drjedodge.com/","https://www.facebook.com/311574832628410","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","086ae7c6-06f6-4e13-bc7a-239b04da1efd","Johnston Oral & Maxillofacial Surg Inc.","-71.49871","41.821501","dentist","health_and_medical | physical_therapy","1414 Atwood Ave","Johnston","02919-4839","RI","US","+14012737802","","","https://www.facebook.com/160591364301404","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","08892e80-0a27-492c-9cf9-1d70dcc47e16","Brite Smiles of Rhode Island","-71.49600024","42.00245685","dentist","endodontist | periodontist","20 Cumberland Hill Rd","Woonsocket","02895-4854","RI","US","+14017667980","contactusl@britesmilesofri.com","http://www.britesmilesofri.com/","https://www.facebook.com/197391503629644","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","092c84ce-9b51-4271-9979-6df13abff274","Konicov David","-71.393662","41.827214","dentist","doctor | periodontist","189 Governor St","Providence","02906-3124","RI","US","+14014211457","","http://eastsideprovidencedentist.com/","https://www.facebook.com/100875203291061","","0.8211951851844788","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"RI","Rhode Island","09563957-0f63-4b54-acc3-c36f9c8e7537","University Orthodontics - Bryan F. Beagan, D.M.D.","-71.4550742381978","41.7546799686101","dentist","","95 Sockanosset Cross Rd Ste 301","Cranston","02920","RI","US","(401) 942-0300","","http://www.ri-braces.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"RI","Rhode Island","0ad4218c-7d04-4a82-844c-7286875cd8c4","Caress Dental Inc","-71.40546156","41.84540054","dentist","health_and_medical | laboratory_testing","909 N Main St","Providence","02904-5752","RI","US","+14012721238","","","https://www.facebook.com/205907542758528","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","0b3d69aa-6a22-4679-9db0-4448187f0ccc","University Oral Surgery","-71.3811022","41.8731446","dentist","doctor | oral_surgeon","123 School St","Pawtucket","02860-4270","RI","US","+14017247230","uoms@aol.com","http://www.riuoms.com/contact-us","https://www.facebook.com/110496276099643","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","0b5fd227-de0c-4ad8-bfa4-6afe0a969d4e","Artistry Dental","-71.43352041","41.7785773","dentist","general_dentistry | cosmetic_dentist","795 Park Ave","Cranston","02910-2036","RI","US","+14017812212","","http://artistrydental.com","https://www.facebook.com/107991341054583","","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"RI","Rhode Island","0ca265eb-587b-4c02-90ee-f3d504aac6be","Anna Pavlotsky D.M.D","-71.40507594","41.74796553","dentist","general_dentistry | cosmetic_dentist","1025 Warwick Ave","Warwick","02888-3600","RI","US","+14017850202","","http://annapavlotskydmd.wixsite.com/anna","https://www.facebook.com/148492045291637","","0.9715237021446228","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"RI","Rhode Island","0ddd8d0d-c9b2-4f07-abf1-aabdd0a888e7","Quonset Dental","-71.45702","41.6124","dentist","teeth_whitening | oral_surgeon","6810 Post Rd","North Kingstown","02852-2137","RI","US","","","http://www.401dentist.com/","https://www.facebook.com/604395729647969","Anthony J. Gazzola, Jr., DMD","0.9633741974830627","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
