"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"SC","South Carolina","0000b68b-cce2-4c94-9e98-6036e21b1098","SC Smiles Dental","-78.938685","33.669289","dentist","pediatric_dentist","3074 Deville St","Myrtle Beach","29577-1569","SC","US","+18434927747","info@scsmilesdental.org","http://scsmilesdental.org/","https://www.facebook.com/100573106065336","","0.6954841017723083","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"SC","South Carolina","0020b4ea-7f80-4259-9628-7f9518ee151f","Agape Dental","-82.27198","34.81457","dentist","teeth_whitening | cosmetic_dentist","313 Tanner Rd","Greenville","29607-5923","SC","US","+18642978566","officemail@drkdmd.com","http://greenville-cosmetic-dentistry.com/","https://www.facebook.com/153201964249","","0.9168031811714172","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"SC","South Carolina","002c265e-8f4a-41c4-8d17-a4d7b2ea3d6c","Edgefield Family Dentistry","-81.90880664","33.79338377","dentist","orthodontist | health_and_medical","704 Columbia Rd","Edgefield","29824-4309","SC","US","+18036376060","","http://cooksmiles.com","https://www.facebook.com/1141356199335251","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"SC","South Carolina","00543d7c-da19-4b3c-8f48-9417377eb7f1","Park Place Dentistry","-82.987274","34.683569","dentist","doctor | park","203 Central Park Ln","Seneca","29678-1156","SC","US","+18644822400","","http://parkplacedentistrysc.com","https://www.facebook.com/460190714112791","","0.8040921688079834","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"SC","South Carolina","007dc346-205a-4d11-a446-282035a05793","James Joseph Sanders","-79.0546285321957","33.8503407608621","dentist","","805 16th Ave","Conway","29526","SC","US","(843) 248-3612","","https://www.carecredit.com/doctor-locator/General-Dentist-in-Conway-SC-29526/J-Joseph-Sanders-DMD-PC","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"SC","South Carolina","00abb984-b159-4d9a-9fc1-6f128ba68fec","Dr. Philip C. Wilkins Sr.'s Office","-81.0866064332262","34.3815445799044","dentist","","124 N Congress St","Winnsboro","29180","SC","US","(803) 635-6162","","http://winnsborosmiles.com","https://www.facebook.com/105079246226585","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"SC","South Carolina","0139fb12-8df7-40fa-b417-55ac090e8dba","Goolsby Dental","-80.02084248","32.78740777","dentist","general_dentistry | health_and_medical","537 Wappoo Rd","Charleston","29407-2223","SC","US","+18435715656","info@goolsbydental.com","https://www.goolsbyfamilydentistry.com","https://www.facebook.com/545029588693789","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"SC","South Carolina","017991c3-42df-4c73-9a1d-e669d6da0c67","Ocean Drive Dentistry","-78.67437886","33.82300613","dentist","general_dentistry | health_and_medical","418 Main St","North Myrtle Beach","29582-3041","SC","US","+18434914260","oceandriveappts@gmail.com","http://www.oceandrivedentistry.com/","https://www.facebook.com/624254504277776","Ocean Drive Dentistry","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"SC","South Carolina","0236cc11-8aaa-459d-aca2-6fc855193a65","Nobel Dental Care","-80.78982693","34.71629891","dentist","general_dentistry | cosmetic_dentist","821 W Meeting St","Lancaster","29720-2201","SC","US","+18032866455","nobeldentalcare@gmail.com","https://www.nobeldentalcare.com/","https://www.facebook.com/1282011568504508","Nobel Dental Care","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"SC","South Carolina","025eac29-b06d-4e21-80d5-810b130c0147","Holliday Kimberly J DMD","-81.127294978655","34.0430546960093","dentist","medical_service_organizations | health_and_medical","2617 Ashland Rd","Columbia","29210-5005","SC","US","+18037729994","","","https://www.facebook.com/157436907623724","","0.9376243352890015","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"SC","South Carolina","02b25e93-834f-49d1-893c-233fdd70a6ca","Carolina Dental Studio","-81.94655001","34.9859001","dentist","general_dentistry | cosmetic_dentist","1256 Boiling Springs Rd","Spartanburg","29303-2242","SC","US","+18645826306","carolinadentalstudio@hotmail.com","http://www.carolinadentalstudio.com/","https://www.facebook.com/117717071198694","","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"SC","South Carolina","02b3f4d3-f988-4a58-b0f8-b8d7f3b09557","Stono Dental Care","-80.11812929","32.8037971","dentist","general_dentistry | medical_service_organizations","3750 Savannah Hwy","Johns Island","29455-7909","SC","US","+18438900925","info@stonodentalcare.com","https://stonodentalcare.com/emergency-dental-care/","https://www.facebook.com/494942647326197","","0.9988233596086502","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
