"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"VA","Virginia","00470be1-a65f-4a6a-85e4-68b8169157d9","Natural Art Prosthetics","-78.43122886","39.09635063","dentist","","521 Bushy Ridge Dr","Star Tannery","22654-1805","VA","US","+15404654848","naturalartprosthetics@gmail.com","http://www.naturalartprosthetics.com/","https://www.facebook.com/159515164079394","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","0089306f-f241-48ab-b6be-fbe3f4ab52dc","Virginia Dental Association","-77.56762462","37.63772703","dentist","community_services_non_profits | non_governmental_association","3460 Mayland Ct","Henrico","23233-1401","VA","US","+18045232189","info@vadental.org","http://www.vadental.org/","https://www.facebook.com/240821045976090","Vadental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","00c860be-2de2-4eaa-8b57-12c7f6545b96","J Patrick Baker DDS","-76.303215400986","36.900639321511","dentist","","1170 Lexan Ave","Norfolk","23508","VA","US","(757) 440-1360","","https://bonsecours.com/hampton-roads/find-a-provider/providers/practices/John-P-Baker-DDS-PLC","","","0.77","","6","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-10-23T00:00:00.000 | 2026-06-11T11:57:15Z"
"VA","Virginia","012f396a-49dd-44b6-a834-77190a5fc4e1","Dr. David Metzdorf Jr","-77.36690385","38.87086953","dentist","general_dentistry | doctor","4001 Fair Ridge Dr","Fairfax","22033-2917","VA","US","+17033525222","","http://www.fairfaxgentledental.com/","https://www.facebook.com/1476032179201993","","0.7719713449478149","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"VA","Virginia","0133b57b-a06c-4b57-a620-5b6bce2336b3","Dr. Bonnie Pearson","-77.35704062","37.16720641","dentist","health_and_medical | hospital","10545 S Crater Rd","Petersburg","23805-7333","VA","US","+18047326638","","http://www.bonniepearsondds.com/","https://www.facebook.com/200082853437223","","0.841805100440979","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"VA","Virginia","015124e7-8eff-4c75-bc2a-0a7b8bce4377","Advanced Dental Care","-77.085272","38.828533","dentist","hospital | home_cleaning","1707 Osage St","Alexandria","22302-2607","VA","US","+17035781700","","http://www.grovedentalclinic.com/","https://www.facebook.com/609422359216521","Grove Dental Clinic","0.7227491140365601","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"VA","Virginia","01534f33-8b43-4f0f-94f2-19842de48ed9","Peony Dental","-77.47974174","38.76448012","dentist","general_dentistry","9378 Forestwood Ln","Manassas","20110-4741","VA","US","+17036591111","info@peonydental.com","https://www.peonydental.com/","https://www.facebook.com/100337138144305","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","0159cf2f-91db-460b-9ad5-f6dc7cfcf19a","Franklin Dental","-77.40597685","38.90822116","dentist","general_dentistry | health_and_medical","13320 Franklin Farm Rd","Herndon","20171-4092","VA","US","+17038707675","franklindental01@yahoo.com","http://www.franklin-dental.com/","https://www.facebook.com/658176680891520","Franklin Dental","0.9990242213010788","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"VA","Virginia","01b69a08-0340-409c-8cec-435c5d1a6cc8","East Beach Dental","-76.1875560755259","36.9253611875343","dentist","","4520 Pretty Lake Ave","Norfolk","23518","VA","US","(757) 362-0600","","http://www.eastbeachdental.com","","","0.9199122190475464","open","6","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","01c61008-b4cf-4ca4-a7d6-2b01ef14ac0d","Oyster Point Smiles","-76.47873646","37.08366106","dentist","cosmetic_dentist | health_and_medical","606 Thimble Shoals Blvd","Newport News","23606-4521","VA","US","+17578732577","info@oysterpointsmiles.com","http://www.oysterpointsmiles.com/","https://www.facebook.com/504096009600753","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","01ce855e-2c62-4271-9376-6e0f6f123fb6","Dr. Feisal Osman Dentist Office","-77.631997004091","37.6377387247962","dentist","","3033 Lauderdale Dr","Richmond","23233","VA","US","(804) 364-1696","","https://www.healthgrades.com/dentist/dr-feisal-osman-2vfhc","https://www.facebook.com/122128294511595","","0.77","","3","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-11-24T00:00:00.000 | 2026-06-11T11:57:15Z"
"VA","Virginia","01de63b0-c280-4e50-9779-93577ad388a4","Dr. Zacko & Associates","-77.3473553950608","38.9619575046625","dentist","","1785-1799 Clubhouse Rd","Reston","20190","VA","US","(703) 471-6600","","https://www.georgebzackodentistry.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-05-25T00:00:00.000 | 2026-06-11T11:57:15Z"
"VA","Virginia","01eb1cbe-14e0-46b4-b386-195204d41039","Kidz Dentistry","-77.433187","38.830617","dentist","pediatric_dentist | oral_surgeon","6101 Redwood Square Ctr","Centreville","20121","VA","US","+17032220111","kidzdentistry20121@gmail.com","http://kidz-dentistry.com/","https://www.facebook.com/850380118421962","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","01fc2106-688e-42fe-9877-14cfc125ee47","Columbia Pike Family Dentistry","-77.08363915","38.86351102","dentist","general_dentistry","2407 Columbia Pike","Arlington","22204-4469","VA","US","+15713124111","info@columbiapikefd.com","http://www.columbiapikedentistry.com/","https://www.facebook.com/119700005283506","","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","0210def8-c312-4c3d-9d4d-6427ab8209c4","Portsmouth Family Dental","-76.32406553","36.80016796","dentist","general_dentistry","4409 George Washington Hwy","Portsmouth","23702-2401","VA","US","+17574852222","","","https://www.facebook.com/188029124563941","","0.9902192950248718","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","028ed48f-9c38-40bc-93d2-0d2a8cd1da92","Coliseum Oral Surgery Center","-76.39537627","37.04776813","dentist","pediatric_dentist | cosmetic_dentist","2111 Hartford Rd","Hampton","23666-2576","VA","US","+17573277843","","https://www.hrpediatricdentistry.com","https://www.facebook.com/1477662045885889","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","0294508b-a2e3-4e09-8c8c-6dc3eec1c2c6","Your Family Dentist","-77.12597078","38.85227863","dentist","general_dentistry","5666 Columbia Pike","Falls Church","22041-2700","VA","US","+17034179622","contactus@yourfamilydentistva.com","https://www.yourfamilydentistva.com/","https://www.facebook.com/111254694620068","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"VA","Virginia","02b3ed42-e247-4a31-b2ff-369113a502aa","Advance Dental","-77.185785","38.801183","dentist","cosmetic_dentist | medical_service_organizations","7011 Backlick Ct","Springfield","22151-3903","VA","US","+17033336077","","","https://www.facebook.com/169446489777577","","0.9313005805015564","","1","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
