"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"WA","Washington","000512a5-21e9-4fa6-a66e-4925149f5d91","Kenner Dental Group","-122.35745265","47.46689323","dentist","general_dentistry","1800 SW 152nd St","Burien","98166-1700","WA","US","+12062481339","info@kennerdentalgroup.com","http://www.KennerDentalGroup.com/","https://www.facebook.com/158791220808236","Kenner Dental Group","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","001d97c7-b3d3-496e-98f7-6ae78b4476c8","Northwest Dental and Denture","-122.48590714","48.76617736","dentist","general_dentistry","2710 Meridian St","Bellingham","98225-2411","WA","US","+13606761499","kimberly@nwdental.org","http://www.nwdenture.com/","https://www.facebook.com/278286929225036","Northwest Dental - Denture & Dentistry","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","002051e1-2adb-48cd-be83-fa0473b4e125","Pacific Dental","-122.32011091","47.59929627","dentist","general_dentistry","900 S Jackson St","Seattle","98104-3053","WA","US","+12064478084","care@dentaldepartures.com","http://www.seattlepacificdental.com","https://www.facebook.com/119108388149996","Pacific Orthodontics & Dental","0.9509981274604797","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WA","Washington","00618f3e-ffa5-4f07-b08e-312460483d54","College Street Dental","-122.82418908","46.99938451","dentist","general_dentistry","5350 Corporate Center Loop SE","Lacey","98503-5591","WA","US","+13604123114","","https://www.cooperpointcollegestreetdental.com","https://www.facebook.com/266583376767126","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","00852b60-b1d5-4f3c-bcf3-2bb7e9661db3","Ballard Dental Arts","-122.379217365749","47.669633707766","dentist","","1700 NW 56th St","Seattle","98107","WA","US","(206) 783-0400","","http://wileyfamilydental.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2026-03-03T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","0090040d-e27f-4e07-987f-23fd216f64ae","James E Stevens, DMD","-120.00740387","46.32397006","dentist","health_and_medical | naturopathic_holistic","922 E Edison Ave","Sunnyside","98944-2208","WA","US","+15098377818","rstevens@jimstevens.tv","http://www.jimstevens.tv/","https://www.facebook.com/173514266120079","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","009b232b-bfc0-4482-b4f5-86e380c817dd","Juanita Bay Dentistry","-122.210797608981","47.706708281821","dentist","","11817 98th Ave NE","Kirkland","98034","WA","US","(425) 284-4455","kirklanddentistry19@gmail.com","http://www.davidchendds.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-07-31T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","009d2ec9-55dd-4978-a80d-c09718f4b1ca","Light Dental Studios of Parkland","-122.432369","47.138183","dentist","health_and_medical | medical_service_organizations","102 131st St S","Tacoma","98444-4804","WA","US","+12535311954","parkland@lightdentalstudios.com","http://www.lightdentalstudios.com/parkland-dentist-office.html","https://www.facebook.com/360008124393349","Light Dental Studios","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","00a47c48-b75a-469d-ab7d-4d7c97689c52","Angel Mantchev, DDS","-123.426085099287","48.1073956023984","dentist","","806 E 8th St","Port-Angeles","98362","WA","US","(360) 452-7666","drmantchev@gmail.com","http://www.angelmantchevdds.com","https://www.facebook.com/167579639922590","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2020-12-10T00:00:00.000 | 2026-06-11T11:57:15Z"
"WA","Washington","00ab2e7b-b35c-44e7-9a2d-bf37b6f11924","Hahn Dental","-122.27479461","47.87340178","dentist","orthodontist | periodontist","13624 Highway 99","Lynnwood","98087","WA","US","+14257436392","harbourdental@yahoo.com","http://www.hahndentalwa.com","https://www.facebook.com/163126523740363","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WA","Washington","00b0b74e-aef0-4907-b513-723a7223b959","Petrie Advanced Dental","-122.48363327","47.24520446","dentist","general_dentistry | cosmetic_dentist","1550 S Union Ave","Tacoma","98405-1946","WA","US","+12537615422","info@petrie-dental.com","http://www.petrie-dental.com/","https://www.facebook.com/1383506741875753","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
