"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"WI","Wisconsin","0008c02f-a31b-4946-8a30-c375ab641690","Midwest Dental","-89.54785462","44.46738256","dentist","general_dentistry | health_and_medical","2950 Bea-Jay Ln","Plover","54467-2716","WI","US","+17153415220","plover@midwest-dental.com","https://midwest-dental.com/dental-office/plover/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles","https://www.facebook.com/729715633564272","Midwest Dental","0.9999606260478496","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WI","Wisconsin","001f92d3-3930-40db-b92e-fbee5dab9543","Wisconsin Family Dental","-89.20869411","43.08785538","dentist","general_dentistry","435 W Oak St","Cottage Grove","53527-9188","WI","US","+16088399200","info@wifamilydental.com","https://wifamilydental.com/","https://www.facebook.com/110646784937181","","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","006df6be-c5cf-456e-9d03-d9a4966e1b75","Basarich D G DDS","-90.38471101","43.33630132","dentist","general_dentistry","175 E Mill St","Richland Center","53581-2200","WI","US","+16086476222","","","https://www.facebook.com/255803091185909","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","0076bf3b-40f3-41e3-b5cf-b5334d645dd5","Amenity Dental Care","-88.02280717","44.48228977","dentist","general_dentistry | health_and_medical","2121 S Webster Ave","Green Bay","54301-2290","WI","US","+19204378017","frontdesk@amenitydentalcare.com","https://amenitydentalcare.com","https://www.facebook.com/609628052398620","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","0154aaa4-c979-4b3e-b21d-5da3cc99dd94","Village Smile Care","-89.71715754","43.01127776","dentist","general_dentistry | cosmetic_dentist","1730 Springdale St","Mt Horeb","53572-2470","WI","US","+16084377645","admin@villagesmilecare.com","https://villagesmilecare.com/","https://www.facebook.com/395541533868898","","0.999813722550869","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WI","Wisconsin","0161f414-b4b8-40de-aed2-5e41c07d13e2","Spring Valley Dentistry","-92.2392539335166","44.8454348601339","dentist","","W124 S 2nd St","Spring Valley","54767","WI","US","(715) 778-5543","svdental@svtel.net","http://www.svdentistry.com","https://www.facebook.com/188657284532451","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-19T00:00:00.000 | 2026-06-11T11:57:15Z"
"WI","Wisconsin","01764451-2e44-4146-a82a-88ebfd5224f2","Ministry Dental","-89.5505931634894","44.5345639347293","dentist","","3504 E Maria Dr","Stevens Point","54481","WI","US","(715) 342-8060","ministrydental@smhosp.org","http://www.ministryhealth.org/MinistryHealth/Services/DentalServices.nws","https://www.facebook.com/154325461269664","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","0196cd07-e813-4909-9a89-09c0643dba4d","Drs. Larson Martyn & Hafner LLP: Hafner Robert A DDS","-87.92383992","43.21027198","dentist","general_dentistry | health_and_medical","10562 N Port Washington Rd","Mequon","53092-5537","WI","US","+12622401220","","http://mequonfamilydentistry.com/","https://www.facebook.com/159972034025393","","0.9346452951431274","","3","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WI","Wisconsin","01a6fd55-7312-4e66-a8bb-c6bf084efaa5","Tannan Dilip K MD","-88.58365098","44.0127518","dentist","general_dentistry | doctor","555 S Washburn St","Oshkosh","54904-6710","WI","US","+19202312555","","","https://www.facebook.com/166404466872210","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","02008dd3-e903-4886-9d70-c7c2dbacf3e9","Dental 360","-88.23617021","42.98865404","dentist","general_dentistry","444 W Sunset Dr","Waukesha","53189-7407","WI","US","+12622328461","","","https://www.facebook.com/122362447498523","Dental 360","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WI","Wisconsin","02017fd2-62f6-4f3a-97f9-3e0b48909fa3","Joseph A. Pavletich D.D.S.","-88.34752788","43.10470696","dentist","general_dentistry | medical_service_organizations","101 North Ave","Hartland","53029-1715","WI","US","+12623673291","","","https://www.facebook.com/161946913835514","","0.9902192950248718","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
