"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"WV","West Virginia","0102d83e-0e7c-4f2e-9ad9-9248becbea37","Michael L. Smith, DDS","-81.23598091","37.73891111","dentist","doctor | health_and_medical","1271 Robert C Byrd Dr","Crab Orchard","25827-1704","WV","US","+13042534473","","http://drmichaelsmithdds.com/","https://www.facebook.com/111203313969365","","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","01b1a4dc-bfce-40fe-a950-4119dd1c06e4","Excellence by Choice Dental - Chris J. Giuliani, DDS","-79.9613252767535","39.6343297240423","dentist","","4 W Park Ave","Morgantown","26501","WV","US","(304) 906-4356","","http://drgiuliani.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","03c14b69-2d1b-44ba-927b-012391a27abd","TMJ & Sleep Solutions of West Virginia","-81.55051233","39.24211938","dentist","health_and_medical","1414 Blizzard Dr","Parkersburg","26101-6423","WV","US","+13044245355","dr.moore@tmjsleepwva.com","http://tmjsleepwva.com/","https://www.facebook.com/776346042223958","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","055e5524-601e-4c30-966f-1c6d62f5227e","South Branch Dental","-79.32938209","38.64438982","dentist","","161 S Branch St","Franklin","26807-6614","WV","US","+13043582522","","","https://www.facebook.com/207957422720404","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","0562f13c-8754-41ef-b4b4-c337ccbbef9a","Drs Bush and Mason Family Dentistry","-82.1119120433893","38.9192459100737","dentist","","5527 Ohio River Rd","Point Pleasant","25550","WV","US","(304) 675-6012","bush.masonfamilydentistry@gmail.com","http://www.bushmasonfd.com","https://www.facebook.com/480292408758755","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","056d382e-8ff9-4c64-82e7-c0feb40c776c","Huntington Family Dental","-82.30087634","38.41632879","dentist","general_dentistry","6353 E Pea Ridge Rd","Huntington","25705-2525","WV","US","+13047364794","info@huntingtonfamilydental.net","https://sites.google.com/huntingtonfamilydental.net/huntington-family-dental/home","https://www.facebook.com/111464195115131","Huntington Family Dental","0.8673699498176575","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z"
"WV","West Virginia","05db4ccb-614f-4bff-b41a-3dddc56e4c76","Morgan Hypes DDS","-81.15631236","37.97594044","dentist","doctor | health_and_medical","400 Virginia St","Oak Hill","25901-2009","WV","US","+13044655361","halefamilydentistry@drjohnhale.com","http://drjohnhale.com/","https://www.facebook.com/1481647978786786","Hale and Hypes Family Dentistry","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","07703de8-0761-4e08-a754-30ffb65e6328","WVU Dental","-79.95747088","39.65344094","dentist","general_dentistry | health_and_medical","64 Medical Center Dr","Morgantown","26506","WV","US","+13042936208","sodnews@hsc.wvu.edu","http://wvudentalcare.org/","https://www.facebook.com/558267534292099","","0.9722161889076233","","10","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WV","West Virginia","08710ccf-aa43-44dd-8662-4895d4f12f28","William A Reynolds III, DDS","-81.77681398","38.43245917","dentist","general_dentistry | medical_service_organizations","5304 Koontz Dr","Charleston","25313-1016","WV","US","+13047761821","reynoldsiiidds@gmail.com","","https://www.facebook.com/109045972022082","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WV","West Virginia","08e15cd9-3965-44d5-81ba-819e7d2da871","Kilcollin Dental","-80.4384994506836","37.8047348423234","dentist","health_and_medical","1393 Jefferson St N","Lewisburg","24901","WV","US","3046453883","","http://www.kilcollindental.com/","","","0.85","","7","Microsoft | Overture","CDLA-Permissive-2.0","2016-06-29T12:09:04.557Z | 2026-06-11T11:57:15Z"
