"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"WY","Wyoming","01d49b61-9ce1-4d3c-97fd-c243d07acd6a","Grinnell Street Dental","-106.95442014","44.79930097","dentist","general_dentistry | health_and_medical","108 E Grinnell Plz","Sheridan","82801-3938","WY","US","+13076727567","info@smilesbydrcoon.com","http://www.grinnellstreetdental.com/","https://www.facebook.com/162947887087561","","0.9199122190475464","open","10","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WY","Wyoming","0235f34a-3e70-4565-b4d1-a31d4da044cd","Lawrence Romney","-109.21954555","41.59010528","dentist","pediatric_dentist | health_and_medical","657 Pilot Butte Ave","Rock Springs","82901-5343","WY","US","+13073623125","","http://www.romneypediatricdental.com/","https://www.facebook.com/143170062406256","","0.9325507283210754","","7","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WY","Wyoming","02b2c985-fa1d-4135-a92f-35c45fc9fb25","Eagle Summit Dental Clinic","-106.706035","44.36043","dentist","health_and_medical | pediatric_dentist","1001 Eagle View Dr","Buffalo","82834-1417","WY","US","+13076840119","eaglesummitdental@fiberpipe.net","http://www.eaglesummitdentalclinic.com/","https://www.facebook.com/190969777628947","","0.896836519241333","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WY","Wyoming","035cb225-4f36-45d1-aee3-314738f17a8b","Ruma Novotny DDS & T Shaun Sutherland DDS","-106.30277055","42.8485754","dentist","general_dentistry","1653 E 2nd St","Casper","82601-3001","WY","US","+13072346033","rumanovotnydds@gmail.com","http://www.tshaunsutherlanddds.com/","https://www.facebook.com/370717466459637","","0.9914621710777283","","2","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WY","Wyoming","06c49fc5-ad6d-45be-8dbf-17bfda3f5a43","Aspen Ridge Dental","-106.3075972","42.83937639","dentist","general_dentistry | cosmetic_dentist","1122 S Conwell St","Casper","82601-3965","WY","US","+13074391187","admin@aspenridgedental.com","http://www.aspenridgedental.com/","https://www.facebook.com/100619233422266","Aspen Ridge Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WY","Wyoming","0865ec0f-6fde-4754-b3ab-1d19374ac3a9","Whitney Plaza Dental","-106.95166485","44.79891111","dentist","general_dentistry | doctor","145 N Connor St","Sheridan","82801-4315","WY","US","+13076751905","whitneyplazadental1@gmail.com","http://www.whitneyplazadental.com","https://www.facebook.com/181348748576923","","0.9984883558750153","","8","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"WY","Wyoming","08d721be-ee37-4eb5-bf7e-895647f8974c","Espire Dental","-106.27144535","42.83340413","dentist","general_dentistry | cosmetic_dentist","1530 Centennial Ct","Casper","82609-7304","WY","US","+13074588547","casper@espiredental.com","https://tinyurl.com/4mk285z4","https://www.facebook.com/163579980329604","Espire Dental","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WY","Wyoming","0d3ea27a-9d42-41d1-bd93-76799f36c5ab","Ultra Orthodontics","-106.27683182","42.85114713","dentist","orthodontist | pediatric_dentist","295 N Walsh Dr","Casper","82609-1911","WY","US","+13072657878","info@surfinsmiles.com","http://surfinsmiles.com/","https://www.facebook.com/152408401492732","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"WY","Wyoming","1007756a-a5f7-4f8e-adaf-b4a682feef68","Wind River Dental Care","-108.722434989808","42.8341920825958","dentist","","8125 Wyoming 789","Lander","82520","WY","US","(307) 332-3181","","http://www.windriverdentalcare.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z"
"WY","Wyoming","102644a1-65a7-44c9-8489-a76f85150999","Moss Dentistry","-108.41578147","43.03421337","dentist","general_dentistry | health_and_medical","1900 W Sunset Dr","Riverton","82501-2351","WY","US","+13078572028","","","https://www.facebook.com/513054132042816","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
